"","PHI","BAL","NYG","NO","NE","MIN","MIA","IND","CLE","LAC","DEN","CAR","ARI","GB","DET","OAK","CIN","ATL","WAS","TEN","TB","PIT","NYJ","BUF","SF","LA","JAX","DAL","CHI","HOU","KC","SEA"
"PHI",0,0,0,0,0,0,0,14.3477216152293,0,0,0,0,0,0,0,0,0,0,23.2146464646465,4.02349050598282,0,0,0,0,0,0,7.10682383931616,0,0,8.41590343341111,0,0
"BAL",0,0,0,5.10150949401717,0,0,0,0,1.34166666666667,14.6901571726495,0.756812524320203,0,0,0,0,22.4790347465424,7.07575757575758,24.6068238393162,0,22.1472278797202,15.9042872717949,0,0,15.0503190178267,0,0,0,0,0,0,0,0
"NYG",2.48141025641026,0,0,0,0,0,0,0.106823839316164,0,0,0,8.10682383931616,0,0,0,0,0,2.30682383931617,1.55357142857143,0,0,0,0,0,0,0,4.10746187496956,1.79924242424243,0,0,0,0
"NO",30.7113579788657,0,9.90682383931616,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6068238393162,0,12.1487317162394,0,0,0,0,0,0,0,0,0,0,0,0,0
"NE",0,0,0,0,0,12.8704488879566,13,0,0,0,0,0,0,1.55681252432021,0,0,0,0,0,0,0,4.39571272820504,12.8234848484849,5.61666666666667,0,0,0,0,0,7.1495864170941,0.0143882818959611,0
"MIN",5.33409656658888,0,0,7.14317616068384,0,0,13.5015677690754,0,0,0,0,0,7.63493440244208,8.54679487179487,11.0972222222222,0,0,0,0,0,0,0,4.22447089813969,0,0.226509494017172,0,0,0,0,0,0,0
"MIA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.73933000683769,0,0,0
"IND",0,0,0,0,3.59034032283264,0,10.6431761606838,0,0,0,0,0,0,0,0,13.995712728205,0.438630706138383,0,0,11.741958041958,0,0,5.26066999316231,2.84772161522929,0,0,0,3.42889044639812,0,3.20562770562771,0,0
"CLE",0,0,0,5.27349050598283,0,0,0,0,0,0,4.6522783847707,0,0,0,0,0,12.6121212121212,3.39317616068384,0,0,0,0,1.49207725958494,0,0,0,0,0,0,0,0,0
"LAC",0,0,0,0,0,0,0,0,11.1068238393162,0,4.96923076923077,0,22.9840852515929,0,0,7.30555555555555,0,0,0,0,0,4.80682383931615,0,3.55379353628586,0,0,0,0,0,0,14.7070707070707,8.94015717264949
"DEN",0,0,0,0,0,0,0,0,0,0,0,0,10.0093879418803,0,0,0.586363636363636,2.7927212752136,0,0,0,0,0,0,0,0,0,0,0,0,4.16590343341111,0,12.0646047321124
"CAR",4.55126828376061,1.48408525159293,0,0.622727272727273,0,0,0,0,5.19773293022525,0,0,0,0,0,11.7159147484071,0,0,0,10.125005657498,0,7.29399766899767,0,0,0,0,0,0,4.2568125243202,0,0,0,7.67095393846161
"ARI",0,0,0,0,0,0,0,0,0,0,0,0,0,0.19773293022525,0.343176160683839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GB",0,0,0,0,0,0,11.3820650495727,0,0,0,0,0,0,0,1.42272727272727,0,0,0,0,0,0,0,11.9657981982905,22.0598428273505,8.89317616068384,0,0,0,0.398484848484848,0,0,2.24318747567979
"DET",0,0,0,0,19.3931761606838,0,16.1068238393162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0431874756798,10.0747725572649,0,0,2.85682383931616,0,0,0,0
"OAK",0,0,0,0,0,0,6.65227838477071,0,2.89317616068384,0,0,0,2.62880186129418,0,0,0,1.33759307008539,0,0,0,0,0.293176160683842,0,0,0,0,0,0,0,0,0,0
"CIN",0,0,0,0,0,0,5.09317616068384,0,0,1.80682383931616,0,2.83409656658888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATL",4.75076323325555,0,0,0.704720279720277,0,0,0,0,0,0,0,1.77045454545454,17.0717475892553,5.50682383931616,0,0,3.17095393846161,0,19.0623793948717,0,0.00151515151514658,0,0,0,0,0,0,7.25428727179495,0,0,0,0
"WAS",0,0,0,0,0,0,0,5.84014585765354,0,0,0,0,22.7068238393162,2.72650949401717,0,0,0,0,0,1.23182383931616,0,0,0,0,0,0,2.0462177787101,0,0,0,0,0
"TEN",0,0,5.20682383931616,0,10.2265094940172,0,2.52440625689858,0,0,11.6346016170939,0,0,0,0,0,0,0,0,0,0,0,0,6.14042890793658,0.884601617093939,0,0,7.82272727272727,2.10682383931616,0,0,0,0
"TB",3.00306627057396,0,14.8340965665889,2.45454545454546,0,0,0,0,5.60746187496956,0,0,0,0,0,0,0,14.6452853777777,0,17.2153983829061,0,0,0,0,0,5.2568125243202,0,0,16.2068238393162,0,0,0,0
"PIT",0,0.34722222222222,0,6.6522783847707,0,0,0,0,10.8927125506073,0,21.0159147484071,22.5931761606838,0,0,0,0,15.1020202020202,7.53863070613839,0,0,0.523490505982828,0,0,0,0,0,5.28301431550664,0,0,0,4.1047146222223,0
"NYJ",0,0,0,0,0,0,8.75961538461539,0,0,0,4.73933000683768,0,0,0,5.97587145836378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.96893373644142,0,0
"BUF",0,0,0,0,0,3.31894505143737,16.9417249417249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9545454545455,0,0,0,0,0,1.91698568449336,2.19015717264949,0,0
"SF",0,0,7.71135797886565,0,0,0,0,0,0,5.73619446868679,11.4234791909869,0,5.17395104895105,0,0,15.1931761606838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.77349050598283,3.25
"LA",1.05984282735051,0,0,0.925005657497977,0,4.49923676674445,0,0,0,17.2265094940172,9.01591474840707,0,23.4888888888889,3.43163769914538,1.73502896752129,1.69773293022526,0,0,0,0,0,0,0,0,4.29982517482518,0,0,0,0,0,0,0.577777777777779
"JAX",0,0,0,0,15.074994342502,0,7.20682383931616,1.56818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.8711981387058,3.70297768547001,0,0,0,0,0,0,7.60682383931616,0
"DAL",11.8811188811189,0,0,13.5598428273505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23951048951049,0,0,0,0,0,0,0,16.2568125243202,0,0,0,0,3.66451614700847
"CHI",0,0,2.03063336312568,0,1.94262671013439,8.8,0,0,0,0,0,0,9.7431874756798,0,2.18863636363636,0,0,0,0,0,11.7022670697747,0,19.574994342502,0,6.21793495042727,6.93163769914538,0,0,0,0,0,0.529539797047477
"HOU",0,0,3.69317616068384,0,0,0,0.905996673504355,0,1.62650949401718,0,0,0,0,0,0,0,0,0,7.03106626355858,10.3590909090909,0,0,0,0,0,0,8.85227272727273,14.9316376991454,0,0,0,0
"KC",0,6.97499434250202,0,0,0,0,0,0,13.4401571726495,0,0.0916666666666686,0,5.2568125243202,0,0,9.24722222222222,38.3881256556333,0,0,0,0,0,0,0,0,7.17349050598283,0,0,0,0,0,0.712884445376766
"SEA",0,0,0,0,0,1.40226706977475,0,0,0,0,0,0,5.86838161838162,0,9.30682383931616,18.9818238393162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
