"","team","win_perc_2018"
"1","PHI",0.5625
"2","BAL",0.625
"3","NYG",0.3125
"4","NO",0.8125
"5","NE",0.6875
"6","MIN",0.5625
"7","MIA",0.4375
"8","IND",0.625
"9","CLE",0.46875
"10","LAC",0.75
"11","DEN",0.375
"12","CAR",0.4375
"13","ARI",0.1875
"14","GB",0.375
"15","DET",0.375
"16","OAK",0.25
"17","CIN",0.375
"18","ATL",0.4375
"19","WAS",0.4375
"20","TEN",0.5625
"21","TB",0.3125
"22","PIT",0.59375
"23","NYJ",0.25
"24","BUF",0.375
"25","SF",0.25
"26","LA",0.8125
"27","JAX",0.3125
"28","DAL",0.625
"29","CHI",0.75
"30","HOU",0.6875
"31","KC",0.75
"32","SEA",0.625
