"","PIT","CLE","NO","TB","HOU","IND","CIN","CAR","BAL","ATL","ARI","SEA","NYG","GB","NE","OAK","DET","WAS","TEN","PHI","NYJ","KC","JAX","SF","BUF","LAC","DEN","CHI","DAL","MIA","MIN","LA"
"PIT",0,0.761363636363636,0,0,0,0,0,0,0,0,0,0,0,0.697841653278809,0,0,0,0,0,0,0,1.28384332840617,0,0,0,1.07359922903638,0.794582589145434,0.535491680054525,0,0.15064319520604,0,0
"CLE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0645083199454752,0,0,0.431174986612142,0,0,0,0,0,0
"NO",0,0,0,0.355555555555556,0,0,0,0,0,0.389423076923077,0,0,0.890149345586501,0,0,0,0.787585243022398,0,0,0.409301203864049,0.500871956309112,0,0,0,0.564063108625953,0,0,0,0,0.706920251483096,0,0
"TB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.571389115951961,0,0,0,0,0,0,0,0,0.591781047218203,0,0,0
"HOU",0,0,0,0,0,0,1.05856860313145,0,0,0,0.321389115951961,0.705167660604816,0,0,0.400871956309111,0.268674986612142,0,0,0,0,0,0,0.0280303030303031,0,1.31730986187271,0,0,0,0,0,0,0.668825013387858
"IND",0,0,0,0,0.568181818181818,0,0,0,0,0,0.212414756977602,0.228144683581839,0,0,0,0,0,0,0.495454545454545,0,0,0,0.1,0.24912370456086,0,0,0,0,0,0,0,1.26276440732725
"CIN",0.0616161616161617,0.413736631016043,0,0,0,0,0,0,0.642424242424242,0,0,0,0,0,0,0.718825013387858,0.620918576355732,0,0,0,0,0,0,0,0,0.0521583467211912,0.409962865400021,1.69784165327881,0,0,0,0
"CAR",0,0,0.102272727272727,0.261363636363636,0,0,0,0,0,0,0,0,0.335491680054524,0,0,0,0,0,0,0,0,0,0,0,0.760112715549871,0,0,0,0,0.152387107824263,0.723482678919834,0
"BAL",0.317307692307692,1.01748251748252,0,0,0,0.268548723985879,0,0,0,0,0,0,0,0,0.529431073993918,0,0.697841653278809,0,0,0,0,1.77359922903638,0,0,0,0.241552286115131,0,0.135936891374047,0,0,0.212414756977602,0
"ATL",0,0,0,0.791666666666667,0,0,0,0.35959595959596,0,0,0,0,0.471855316418161,0,0,0,0,0,0,0,0,0,0,1.28933783390068,1.13723559267275,0,0,0,0.249128043690888,0.137235592672748,0,0
