"","NO","TB","PIT","CHI","NYG","TEN","JAX","BUF","NE","HOU","PHI","LA","SEA","WAS","NYJ","KC","GB","CIN","CAR","ATL","DET","DAL","MIN","CLE","OAK","DEN","LAC","IND","SF","BAL","ARI","MIA"
"NO",0,0.544444444444444,0.49059897765378,0,0,0,0,0,0,0,0,0.687568674623477,0.734033321088123,0,0,0,0,0.0457646587098561,1.21658896658897,0.0740093240093238,0,0,0.381508068562871,1.01787170492651,0,0,0,0,0,0.471522234467432,0.516394029339227,0
"TB",0,0,0,0,0,0,0,0,0,0,0,0,1.23605352310833,0,0,0,0,0.170240183185381,0.196969696969697,0,0,0,0,0,0,0,0,0,0.721522234467432,0,0.0667603297055273,0
"PIT",0,0.20940102234622,0,0,0,0,0,0.804855567800766,0,0,0,0,0,0,0.945144432199235,0,0,0.282142857142857,1.05411879117359,0,0,0,0,0.683333333333333,0.186902673957476,0,0,0,0,0,0,0
"CHI",0,0,0,0,0,0,0,0,0,0,0,0,0,0.435620622675425,0,0,0.0240384615384616,0,0.334022234467432,0,0.674603174603175,0,0.197802197802198,0,0,0,0,0,0,0,0,0.954855567800765
"NYG",0,0,0,0.745144432199235,0,0.672417159471962,0,0,0,1.20870172164692,0,0,2.14576465870986,0,0,0,0,0,0.345144432199235,0,0.611811098865901,0.73125,1.02738304032824,0,0,0,0,0,0,0,0,0
"TEN",0,0,0.411811098865901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JAX",0,0,0,0,1.24374445668965,0.423611111111111,0,0.388188901134099,0,0.6,0.00283673989154232,0,0,0,0,0,0,0,0,0,0,0,0,0.547708534763337,0,0,0,0,0,0,0,0
"BUF",0,0,0,0.417871704926507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.945144432199234,0,0,0,0,0,0.583426996372194,0,0
"NE",0,0,0.341568854514052,1.55485556780077,0,0,0,0.250466200466201,0,0,0,0,0,0,0.404040404040404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32979797979798
"HOU",0,0,0,0,0,1.15378787878788,0,0,0,0,0.30940102234622,0,0,0.376533889479087,0,0,0,0,0,0,0,0.511811098865901,0,0,0,0,0.808780795835598,0,0,0.816939303994107,0,0
"PHI",0,0,0,0.600310113255311,0.1,0.598811611756809,0,0,0,0,0,0,0,0.791208791208791,0,0,0,0,0,0.047708534763337,0.126284139229337,0,0,0,0,0,0,0,0,0,0,0
"LA",0,0.0659666789118765,0,0,0,0,0,0,0,0,0,0,0,1.01657300362781,0,0,0,0,0,0,0.138188901134099,0,0,0,0,0.0977127106579081,0,0,0.288461538461538,0,0.181818181818182,0
"SEA",0,0,0,0.151009413954612,0,0,0,0,0,0,0,0.178571428571429,0,0,0,0,0,0,0.626962614017416,0,0,0,0,0,0,0,0,0,0.437645687645688,0,0.197802197802198,0
"WAS",0,0.695144432199235,0,0,0.126373626373626,1.22152223446743,0.126284139229337,0,0,0,0,0,0,0,0,0,0.211811098865901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NYJ",0,0,0,0.911998424943623,0,0,0,0.887362637362637,0,0.423166410221213,0,0,0,0,0,0,0.0989905860453884,0.149906336961139,0,0,0,0,0.416939303994107,0.708701721646919,0,0,0,0,0,0,0,0.0973484848484849
"KC",0,0,0,0,0,0.776875201430004,0.445144432199235,0.111811098865901,0,0.154855567800765,0,0.554855567800765,1.20870172164692,0,0,0,0,0,0,0,0,0,0,0.285624798569996,0,0.430361305361305,0,0,0.643862380917183,0,0,0
"GB",0,0,0,0,0.73085871791352,0,0,0.181508068562871,0.821522234467432,0,0.433643446588644,0,0,0,0,0,0,0,0,0.0131889011340989,0,1.45423534129014,0.375,0,0,0,0,0,0.854235341290144,0,0,0
"CIN",0,0,0,0,0,0,0,0.00878079583559854,0.196269709214907,0,0,0,0,0,0,0,0,0,0.324086337031535,0.600310113255311,0,0,0,0.488131313131313,0,0,0,0.183060696005894,0,0.412087912087912,0,0
"CAR",0,0,0,0,0,0,0,0,0,0,0,0.0775828405280381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.387452124506927,0,0.266822753877556,0
"ATL",0,0.449786324786325,0.272804285749483,0,0,0,0,0,0,0,0,0.895764658709856,0.797279810225008,0,0,0,0,0,0.961538461538462,0,0,0,0,0.018491931437129,0,0,0,0,0.147164634219437,0.426962614017416,2.02090200795681,0
"DET",0,0.318744456689654,0,0,0,0,0,0.593317106262304,0.399689886744689,0,0,0,0,0.465977765532568,0.06052904758385,0,0.266774891774892,0,0,0,0,0,0.292307692307692,0,0,0,0,0,0,0,0,0
"DAL",0.0360535231083254,0,0,0.869386856441659,0,0.72078545784026,0.195144432199235,0,0,0,0.343406593406593,0,0,0.489141414141414,0,0,0,0,0,0,0.255750492805295,0,0.236673749618947,0,0,0,0,0.236673749618947,0,0,0.914995427940625,0
"MIN",0,0,0,0,0,0,0,0.675913662968465,0.554855567800765,0,0.0548555678007654,0,0,0.691219204164402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.945144432199235,0.854235341290144
"CLE",0,0.126284139229337,0,0,0,0,0,0,0.217871704926507,0,0,0,0,0,0,0,0,0,0.748174735229538,0,0,0,0,0,0,0,0,0,0,0,0,0
"OAK",0,0,0,0,0,0.330496593441791,0.0933171062623039,0,0,0.329759816814619,0,0.695144432199235,0.516573003627806,0,0,0.164168552036199,0,0,0,0,0,0,0,0,0,0.988095238095238,0,0,0,0,0,0
"DEN",0,0,0,0,0,0.818591831537029,0.60940102234622,0,0,0.117871704926507,0,0,0.256255543310346,0,0.159430146484949,0,0,0,0,0,0,0,0,0,0,0,0,0.536053523108325,0.574086337031535,0,0,0
"LAC",0,0,0,0,0,0.611811098865901,0.361811098865901,0,0.611811098865901,0,0,0.388188901134099,1.11676032970553,0,0,1.43559218559219,0,0.388188901134099,0,0,0,0,0,0,0.420940170940171,0.169230769230769,0,0.357885870831069,1.03605352310833,0,1.03605352310833,0
"IND",0,0,0,0,0.945144432199235,0.222727272727273,0.428030303030303,0,0.854855567800765,0.381818181818182,0.918491931437129,0,0,0.0929508058960034,0,0.536053523108325,0,0,0,0,0,0,0,0,0.840569853515051,0,0,0,0,0,0,0
