"","GB","BAL","LA","TB","CHI","KC","JAX","HOU","CLE","LAC","SF","ARI","WAS","NYJ","MIA","DEN","DET","BUF","PIT","NO","CAR","MIN","TEN","IND","NE","ATL","NYG","CIN","PHI","OAK","SEA","DAL"
"GB",0,0,0,0,0.178571428571429,0,0,0,0,0,0,0,0,0,0,0.793156361739772,0,0,0,0,0,0.782575757575757,0,0,0,0.170480001896592,0.487146668563258,0,0,0,0,0
"BAL",0,0,0.499967181383771,0,0,0,0,0.429519998103408,0.331060606060606,0,0.196186664770075,0.820545639129049,0,0.634877140960551,0,0,0,0,0,0,0,0,0,1.23861090719432,0,0,0,0,0,0,0.923044104460695,0
"LA",0.403813335229925,0,0,0,0,0,0,0,0.0159345473511372,0,0,0.0474525474525475,0,0,0,0,0,0,0,0.00644307502648522,0,0,0,0,0,0,0,0.0449046134880235,0,0,0,0
"TB",0.0704800018965919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0243261557427457,0.83103514961856,0,0,0,0,0,0,0,0
"CHI",0,0,0,0.270480001896592,0,0,0,0,0,0.656792725376135,0,0,0,0,0,0,0.150743006993007,0,0,0.224326155742746,0,0.0738095238095238,0,0,0,0,0,0,0,0.04850197991857,0,0
"KC",0.45174222032563,0,0,0,0.284765716182306,0,0,0,0,0,0,0,0,0,0.293156361739772,0,0,0,0,0,0,0,0,1.07048000189659,0,0,0,0,0,0.861305361305362,0,0
"JAX",0,0.0119375805209906,0,0.358091426674837,0,0,0,0,0.445480001896592,0,0,0,0,0,0,0,0,0,0.252298183714774,0,0,0,0.296203796203796,0.05,0,0,0,0,0,0,0,0
"HOU",0,0,0,0.762787694204284,0,0,0.119528388278388,0,0.918408886992297,0,0,0,0,0,0.10835878977538,0,0,0,0,0,0,0,1.07494172494173,0.0952797202797204,0,0.11133817992159,0,0.699267880684471,0,0.596186664770075,0,0
"CLE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.593855662439073,0,0,0,0,0,0,0.0704800018965919,0.778004846588257,0
"LAC",0.162853331436742,0.693408886992297,0,0,0,0.54047619047619,0.252298183714774,0,0,0,0,0,0,0,0.429519998103408,0.53525641025641,0,0.629519998103408,0,0,0,1.74770181628523,0,0,0.492702224118815,0,0,0,0,0.0888888888888887,0,0
"SF",0,0,0.398809523809524,1.29315636173977,0,0,0,0,0.284065452648863,0,0,0.46474358974359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.326890258306848,0,0,0.122668997668998,0
"ARI",0,0,0,0,0,0,0,0,0.512853331436742,0,0,0,0,0,0,0,0,0,0,0,0,0.0265239579405478,0,0,0,0,0,0,0.393556924973515,0,0.166666666666667,0
"WAS",0,0,0.301249232665823,0,0,0,0,0,0,0,0.192340510923921,0.628820697404108,0,0.000948569531979526,0,0,0,0,0,0,0.161389092805683,0.202247270830681,0,0,0.229519998103408,0,0.0821678321678322,0,0,0,0.512787694204284,0.103021978021978
"NYJ",0,0,0,0,0,0.909007177590588,0.220728789312199,0,0,0.602247270830681,0,0,0,0,0.295995670995671,0.725241906658497,0,0.397727272727273,0,0,0,0,0,0,0,0,0.679519998103408,0,0,0.350699782116372,0,0.0128533314367414
"MIA",0,0,0,0,0,0,0,0,0.587146668563259,0,0,0,0.429519998103408,0,0,0,0,0.0490196078431372,0,0,0,0,0,0,0,0,0,0,0,0.384065452648862,0,0
"DEN",0,0,0,0,0.462853331436741,0.0833333333333333,0,0,0,0,0,0,0,0,0.332980001896592,0,0,0.103813335229925,0,0,0,0,0.425025456442046,0,0.0204290890124987,0,0,0.006443075026485,0,0.331168831168831,0,0
"DET",0.450189393939394,0,0,0.797752729169319,0,0.643805712389122,0,0,0,0.778004846588257,0.429519998103408,0,0,0,0,0.342274873691464,0,0,0,0.794838976255566,0.314135382718793,0,0,0,0,0,0,0,0,0.0704800018965916,0,0
"BUF",0,0,0,0,0,0.784765716182306,0,0,0,0,0,0,0.437095755679166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.729519998103408,0,0
"PIT",0,0.114957264957265,0.356792725376135,0,0,0.206843638260228,0,0.403813335229925,0.495454545454545,0,0.343207274623865,0.114924446341037,0,0,0,0,0,0,0,0,0,0,0.71133817992159,0.487146668563258,0.729519998103408,0,0,0.912878787878788,0,0,1.32951999810341,0
"NO",0.343207274623865,0,0,0.452991452991453,0,0,1.20684363826023,0.346186664770075,0,0,0,0,0,0,0,0,0,0,0,0,1.08434343434343,1.98714666856326,1.01593454735114,2.42951999810341,0,0,0.414368482951893,0,0,0,0,0
"CAR",0.942340510923921,0,0,0.375757575757576,0.706843638260228,0,0.209823028406438,0.270480001896592,0,0,0,0.903813335229925,0,0,0,0,0,0,0,0,0,0,0,0.449267880684471,0,0,0,0,0,0,0,0
"MIN",0,0,0,0.793156361739771,0,0.459368890785481,0,0,0,0,0,0,0,0,0,0.80094856953198,0.402197802197802,0,0,0,0.252298183714774,0,0,0,0,0,0,0,0,0,0,0
"TEN",0,0.497701816285226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0704800018965919,0,0,0.916633848050438,0,0,0.258241758241758,0,0,0,0,0,0,0,0
"IND",0,0,0,0,0,0,0,0,0.0128533314367414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0341163655329555,0,0,0.161389092805683,0,0,0,0
"NE",0,0,0,0,0,0.596186664770075,0,0,0,0,0,0,0,0.506993006993007,0.394230769230769,0,0,0.266317016317016,0,0,0,0,0,0,0,0,0,0,0.396237577654168,0.170480001896592,0,0.103762422345833
"ATL",0,0,0,0.284848484848485,0.0823847638013537,0,0.377072445655856,0,0,0,0,0,0,0,0,0,0.647403078819669,0,0,0.0205128205128201,0.0267857142857142,0.838610907194317,0.440631109214519,0.852531283947874,0,0,0,0,0,0,0.525025456442047,0
"NYG",0,0,0.544904613488024,0,0,0,0,0,0,0,0.525025456442046,0.147403078819669,0,0,0.329519998103408,0,0,0.41133817992159,0,0,0,0,0,0,0.0704800018965919,0,0,0,0,0,0,0.201923076923077
"CIN",0,0.515719696969697,0,0,0,0,0.213337144753735,0,0.0244505494505494,0,0,0.215234283817694,0,0,0,0,0,0.76168783027124,0,0,0,0,0.153813335229925,0,0,0,0,0,0,0,0.2782722096888,0
"PHI",0,0,0.720480001896592,0,0.020429089012499,0,0,0,0,0,0.230802049385459,0,0.29458041958042,0.49142476000817,0.607244707778945,0,0,0.161389092805683,0,0,0,0,0,0,0,0.380003811420401,0.692307692307692,0,0,0,0.38866182007841,1.13888888888889
"OAK",0.147403078819669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.477073408489998,0,0,0,0,0,0,0,0,0,0
"SEA",0,0,0.262878787878788,0,0.526523957940548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129303531308357,0,0,0,0,0.161389092805683
"DAL",0,0,0.929519998103408,2.09270222411881,0,0,0,0,0,0,0.570480001896592,0.555328486745077,0,0,0.11133817992159,0,0.215234283817694,0.429519998103408,0,0,0,0,0,0,0,0,0,0,0,0,0,0
