"","NYG","CHI","KC","CLE","NO","DET","TEN","MIN","NYJ","HOU","ARI","GB","TB","DEN","BAL","OAK","MIA","JAX","CIN","BUF","PHI","CAR","NE","IND","LA","SEA","PIT","LAC","SF","ATL","DAL","WAS"
"NYG",0,0,0,1.07093560994945,0,0,0,0,0,0,0,0.570935609949451,0.857648896662738,0,0,0,0,0,0.565428026414186,0,0.75,0.165428026414185,0,0,0,0,0,0,0.482094693080852,0,0,0.190428026414185
"CHI",0,0,0,0,0,0,0.743999454985614,0.323426573426573,0,0,0.219274180260339,0,0,0,0,0,0,2.00987247085863,0,0,0,0,0,0,0.661844700858542,0,0,0,0,0,0,0
"KC",0,0,0,0,0.865428026414186,0,0,0,0,0,0,0,0,0,0.298208337222178,0,0,0,0,0.661581872568032,0,0.434571973585815,0,0.313359852373693,0,0,0.0654280264141855,0.0430402930402932,0,0.0345719735858148,0,0
"CLE",0,0,0.752753791767633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0496212121212122,0,0,0,0,0
"NO",0.136856597842757,0,0,0,0,0,0,0,0,0,0,0,0.244405594405594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221153846153846,1.10388956487572,0.0884181274319684
"DET",0,0.358516483516484,0,0,0,0,0.815428026414186,0.362179487179487,0,0.180405306919148,0.333285169271328,0.496212121212121,0,0,0,0,0,0.843205804191963,0,0,0.251142312128471,0,0,0,1.20729924631309,0.723460862474703,0,0,0,0.48002651904036,0,0
"TEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.527549238535398,0,0,0.0654280264141858,0,0,0,0,0,0,0,0,0,0,0,0
"MIN",0,0,0,0,0,0,0.79063257964642,0,0,0.898761359747519,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0927007536869129,0,0,0,0,0.307299246313087,0,0,0.792700753686913
"NYJ",0,0,0,0,0,0,0.636856597842757,0,0,0,1.00600054501439,0,0,0,0,0,0.282967032967033,0.142351103337262,0,0.423951048951049,0,0,0,0.0254810644949053,0.123120334106493,0,0,0.184571973585814,0,0,0,0
"HOU",0,0.351142312128471,0,0,0,0,0.0400932400932401,0,0.315428026414186,0,0,0,0,0,1.26149505050889,0,0.146110435124276,1.32275641025641,0,0.298208337222178,0,0,0,0.236363636363637,0,0,0,0,0,0,0,0
