"","DEN","BUF","PIT","NO","NYJ","JAX","CAR","CHI","CLE","DET","IND","SF","LA","DAL","WAS","LAC","NE","ATL","PHI","KC","HOU","GB","BAL","TB","ARI","OAK","NYG","SEA","CIN","TEN","MIN","MIA"
"DEN",0,0,0,0,0,0.0758302917338993,0,0,0,0,0.458929066554871,0,0,1.01507879917519,0.327345443249051,0,0.605987890084283,0,1.48492120082481,0.00695138195138201,0.891702175798568,0,0.0410709334451291,0,0,1.46969696969697,0,0,0,1.53037574627935,0,0
"BUF",0,0,0,0.0226545567509493,0,0.0583688424652351,0,0,0.0730208571172497,0,0,0,0,0,0,0,0,0,0,0.477345443249051,0,0,0.246953286386306,0.105987890084283,0,0,0,0,0,0,0,0.269230769230769
"PIT",0,0.0222172381208456,0,0,0,0,0,0.259396725300333,0.0787129537129537,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262896825396825,0,0,0.572654556750949,0,0,0,0,1.10598789008428,0.119012109915718
"NO",0,0,0,0,0.855987890084283,0,0.757142857142857,0,0,0,0,0.984921200824808,1.58326061735701,2.68946665537026,0,0,0,0,0,0,0,0,0,0.296328671328671,0.606133322036929,0,0,0,0,0,0,0.227345443249051
"NYJ",0,0.0285714285714285,0.0606787765823842,0,0,0,0,0,0.182900998804606,0,0,0,0,0,0,0,0.358554190907132,0,0,0,0,0,0,0.575330791234399,0,0,0,0,0,0,0,0
"JAX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0375457875457875,0,0,0,0,0,0,0,0,0,0,0
"CAR",0,0.189321223417616,0,0,0.427345443249051,0,0,0,0,0,0,0.66368019777659,0.439466655370263,0,0,0,0,0.758333333333333,0,0,0,0,0,0.465909090909091,0.272654556750949,0,1.51522423112784,0,0,0,0.417099001195394,0.567526351622744
"CHI",0,0,0,0.0121939280975356,0,0,0,0,0.204472738569131,0,0,0,1.10598789008428,0.671789887693496,0,0,0,0,0,0,0,0,0,0,0,0,0.571789887693495,0,0,0,0,0
"CLE",0,0,0,0,0,0.0368692527728602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140730837789661,0,0.572374444706131,0.176063391967
"DET",0,0,0.00708679118318378,0,0,0,0,0.149458874458874,0.189321223417616,0,0,0,0,1.09877401467762,0,0,0,0,0,0,0,0.985664335664336,0.204618170521778,1.06067877658238,0,0,0.454451670355278,0,0.294012109915718,0,0.237012987012987,0
"IND",0,0,0,0,0,0.606060606060606,0,0,0,0,0,0.924169708266101,0.394012109915717,0,0,0,0,0,0,0.14386667796307,0.0059523809523811,0,0,0,0,0,0,0,0,0,0,0.234921200824808
"SF",0,0,0,0,0,0.550432334528727,0,0,0,0,0,0,0.122270499108734,0,0.522654556750949,0,0,0,0,0,0.177345443249051,0.0478582637618712,0,0.855987890084283,0.0948717948717949,0,0,0.041958041958042,0,0.469624253720646,0,0
"LA",0,0,0,0,0,0.36653958244319,0,0,0,0,0,0,0,0,0,0,0,0.378715162811555,0,0,0,0,0,0.412193928097536,0,0,0,0.367424242424242,0,0,0,0
"DAL",0,0,0,0,0,0,0,0,0,0,0,0,0.577345443249051,0,0,0,0,0,0.122069597069597,0.045381829478222,0,0.144012109915717,0,0,0,0.208697424601032,0.128787878787879,0,0,0,0.0606787765823842,0
"WAS",0,0,0,0,0,0,0,0.798774014677622,0,0.291448007351615,0,0,0,0.181060606060606,0,0,0,0.477416461512854,0.152014652014652,0,0,0,0,0,0,0.259834043930436,0.0890522875816994,0,0,0,1.00598789008428,0
"LAC",0.0535353535353534,0,0,0,0,0.855987890084283,0,0,0,0,1.22734544324905,0,0,0.248557564461172,0.63376566786206,0,0,0,1.01507879917519,0,0,0,0,0,0,0.909090909090909,0.594012109915717,0,0,0,0,0.205987890084283
"NE",0,0.461363636363636,0.53686925277286,0.355550571454179,0,0,1.39170217579857,0,0.355550571454179,0,0,0,0,0,0,0,0,0,0,0,1.06810910220549,0,0.589321223417616,0.0940121099157174,0,0,0,0,0,0,0,0.222435897435897
"ATL",0,0.558368842465235,0,0.189393939393939,1.11623433213794,0,0,0,0,0,0,0.287806071902464,0,0,0,0,0.500072715976324,0,0,0,0,0.239321223417616,0,0,0.311116095212488,0,0,0,0,0,0,1.31810910220549
"PHI",0,0,0,0,0,0,0,0.939466655370263,0,0.690715406619014,0,0,0,0,0,0,0,0,0,0.0753307912343988,0,0,0,0.128715162811555,0,0,0.183100233100233,0,0,0,0,0
"KC",0,0,0,0,0,0.520273604369997,0,0,0.295527261430869,0,0,0,0,0,0.715877999974392,0.125,0,0,0,0,0.348557564461172,0,0,0,0,0,0.608297824201432,0,0,0.287306571402964,0,0
"HOU",0,0,0,0,0,0,0,0,0,0,0,0,0.727345443249051,0,0,1.19689698099337,0,0,0,0,0,0,0,0,0,0.102345443249051,0,0.965440681344289,0,0.40530303030303,0,0
"GB",0,0,0.0130597289633365,0,0,0,0,0.143939393939394,0.530375746279354,0,0,0,0,0,0.803103019006626,0,0,0,0.46673938264299,0,0,0,0.105987890084283,0,0,0,0,0,0.798295582391975,0,0.646825396825397,0
"BAL",0,0,0,0,0.124781340684948,0,0,0.689321223417616,0.246794871794872,0,0,0,0,0,0,0,0,0,0,0,0.132648473552081,0,0,0,0,0,0,0,0,0,0.456512109915717,0.670090454186847
"TB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257478632478632,0,0,0,0,0,0,0.179726395630003,0,0,0,0,0,0,0.0303757462793539
"ARI",0,0,0,0,0,0.46313074722714,0,0,0,0.329909545813153,1.03037574627935,0,0.640151515151515,0,0,0,0,0,0.105987890084283,0,0.141264857168465,0,0,0,0,0,0,0.214652014652015,0,0,0,0
"OAK",0,0,0,0,0.13326061735701,0.098557564461172,0,0,0,0,0.355987890084283,0,0,0,0,0,0,0,0.565440681344289,0.225274725274725,0,0,0,0,0,0,0,0,0,0,0,0
"NYG",0.251154967058575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.460678776582384,0,0,0,0.38643635233996,0,0,0,0,0.0987740146776221,0
"SEA",0,0,0,1.10310301900663,0,0.751154967058575,0.105987890084283,0,0,0,0.0150787991751917,0,0,0,0,0,0,1.17265455675095,0,0,0,0,0,0.250072715976324,0,0,0.935658219754612,0,0,0.960678776582384,0,0
"CIN",0,0.522654556750949,0.246969696969697,0,0.740165956069564,0,0,0.196896980993374,0,0,0.220935186838795,0,0,0,0,0.205987890084282,0.259396725300333,0,0,0,0,0,0.199107142857143,0,0,0,0,0,0,0,0.970935186838794,0.752141736238129
"TEN",0,0,0.469624253720646,0,0.0588472747508824,0.371212121212121,0,0,0,0,0.173931623931624,0,0.131628915725308,0,0,0.549567665471273,0,0,0,0,0,0,0,0,0.58631980222341,0.478715162811555,0,0,0,0,0,0
"MIN",0,0,0,0,0,0,0,0.0681818181818182,0,0,0,0,0,0,0,0,0,0,0.304268520172128,0,0,0,0,0,0,0,0,0.234193018289411,0,0,0,0
"MIA",0,0,0,0,0.440559440559441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
