"","SEA","ATL","LA","PIT","PHI","NYJ","BAL","CHI","HOU","KC","MIA","TB","DAL","DEN","DET","ARI","BUF","WAS","TEN","NYG","MIN","CLE","CIN","CAR","LAC","OAK","GB","SF","IND","NO","JAX","NE"
"SEA",0,0,0.434343434343434,0,1.49917365524845,0,0,0,0,0.704301860376654,0,0,0,0.133793377718584,0,0.358041958041958,0,0.537635193709987,0,0.68963753356274,0,0,0,0.259857415932209,0,0.270057113982321,0.562364806290013,0.125,0,0,0,0
"ATL",0,0,0,0,0,0,0,0,0,0,0,0.315079365079365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LA",0,0,0,0,0.275730431805225,0,0,0,0,0,0,0.537635193709987,0.662364806290013,0,0,0,0,0.637635193709987,0,0.295698139623346,0,0,0,0,0,0.0433171872423939,0,0,0,0,0,0
"PIT",0,0.565412971487765,0,0,0,0.787635193709987,0,0,0,0,0,0.316910260835467,0,0,0,0,0,0,1.81541297148776,0,0,0.060897435897436,0.347943722943723,0.215412971487765,0,0,0,0,1.0532738971991,1.15175874568395,0.655817011891805,0
"PHI",0,0,0,0,0,0,0,0,1.17399883007362,0,0,0,0.166666666666667,0,0,0.592580248655042,0,0.447885447885448,0.69153147295668,0.53021978021978,0,0,0,0,0,0,0,0,0.037635193709987,0,0.370698139623346,0
"NYJ",0,0,0,0,0,0,0,0.363879957805164,0,0,0,0,0,0,0.071339165264372,0,0,0,0.0632762193510126,0,0,0,0,0,0,0.712364806290013,0,0,0,0,0,0.536363636363636
"BAL",0,0.719940563865771,0,0.0951159951159952,0,0,0,0,0,0,1.03763519370999,0,0,0,0,0,0,0,0.18963753356274,0,0,0.4,0.329545454545455,0.587364806290013,0,0,0,0,0,0,0.176650520575727,0
"CHI",0,1.03763519370999,0,0,0,0,0,0,0,0,0,0,0.144182988108195,0,0,0,1.04569813962335,0,0,0,0.616666666666667,0,0,0,0,0,0.379807692307692,0.037635193709987,0,0,0,0
"HOU",0,0,0,0.12096852704332,0,0,0.142511865113542,0,0,0,0,0,0,0,0,0,0.186174330099537,0,0.55448717948718,0,0,0.191481347556141,0,0,0,0,0,0,0,0,0.472319347319347,0
"KC",0,0,0.87903147295668,0.662635193709987,0,0.267920361845568,0,0,0,0,0.444228600303394,0,0,0.213141025641026,0,0.037635193709987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14418298810819
"MIA",0,0,0,0,0,0.0195804195804196,0,0.882079638154431,0,0,0,0,0,0,0,0,1.00833333333333,0,0,0,1.14418298810819,0,0,0,1.59872844265365,0.729942886017679,0,0,0,0,0.154301860376654,0.142857142857143
"TB",0,0,0,0,0,0,0.0264673703925771,0.37096852704332,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242763398838192,0,0,0,0,0,0,0,0,0,0
"DAL",1.21945337552817,0,0,0,0,0,0,0,0.894182988108195,0,0,0,0,0,0,0,0,0.0976523476523475,1.31793822401302,0,0,0,0,0,0,0,0,0.662364806290013,0.916910260835468,0.326001169926377,0,0
"DEN",0,0,0.319686475761269,0,0,0.499173655248449,0,0,0,0,0.673475917401124,0,0,0,0,0.862364806290013,0,0,0,0,0,0,0.275730431805225,0,0.213636363636364,1.07692307692308,0,0,0,0,0,0
"DET",0,0.037635193709987,0,0,0,0,0,0.772727272727273,0,0,0.0532738971991038,0.456870300795508,0,0,0,0,0,0,0,0.180546624471831,0,0,0,0.249173655248448,0,0,0.139646464646465,0,0,0,0,0
"ARI",0,0.00430186037665381,0.341666666666667,0,0,0,0,0,0,0,0,0,0.237635193709987,0,0.498728442653649,0,0,0,0,0,0,0,0,0,0.348728442653649,1.35581701189181,0,0.606944444444444,0,0,0,0
"BUF",0,0,0,0,0,0.291666666666667,0,0,0,0.558518652443859,0,0,0,0.855817011891805,0.394778050852844,0,0,0,0,0,0.423903267828474,0,0,0,0,0,0,0,0,0,0,0.0642857142857144
"WAS",0,0,0,0,0,0,0,0,0.355817011891805,0,0,0.447213291138498,0,0,0,0.0760967321715256,0,0,0.0169102608354676,0,0,0,0,0,0,0,0,0,0.29038244645724,0,1.58141242533763,0
"TEN",0,0,0,0,0,0,0,0,0,0.653019809094602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NYG",0,0.295698139623346,0,0,0,0,0,0,0.346980190905398,0,0,0,0.363636363636364,0,0,0.235092079017285,0,0.496503496503496,0.653019809094602,0,0,0,0,0,0,0,0,0,0,0,0.229942886017679,0
"MIN",0,0.492667836593043,0.333089739164532,0,0,0.0456981396233465,0,0,0,0,0,0.62096852704332,0,0,0.343406593406593,0,0,0.303273897199104,0,0,0,0,0,0,0,0,0.0984737484737487,0,0,0,0,0
"CLE",0,0.483089739164532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24093189700669,0,0.658847314922108,0,0,0,0,0,0,0,0,0,0,0,0,0
"CIN",0,0.12903147295668,0,0,0,0,0,0,0.519453375528169,0,0,0.454301860376654,0,0,0,0,0,0,0.37903147295668,0,0,0.417857142857143,0,0,0,0,0,0,0,0,0.417493011418218,0
"CAR",0,0.195193695193695,0,0,0.154301860376654,0,0,0.511815355740562,0,0,0,0.621212121212121,0,0,0,0,0,0,0,0,0.620968527043321,1.93509207901729,0.128544284619078,0,0,0,0.287635193709987,0,0,0,0,0
"LAC",1.16236480629001,0,0.43963753356274,0,0,0.795698139623346,0.637635193709987,0,0,0.2,0,0,0,0,0,0,0.401271557346351,0,0,0,0,0,0,0,0,0.696153846153846,0,0.576096732171525,0,0,0,0
"OAK",0,0,0,0,0,0,0,0,0.162364806290013,0.08125,0,0,0,0,0,0,0.176650520575727,0,0,0,0,0.422250578325372,0,0,0,0,0,0.0532738971991038,0,0,0,0
"GB",0,0.162364806290013,0,0,0.770057113982321,0.37903147295668,0,0,0,0,0.764907920982714,1.73763519370999,0,0,0,0,0.653019809094602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.406809250734457
"SF",0,0,0.321428571428572,0,0.22903147295668,0,0,0,0,0.851253695178902,0,0,0,0.204301860376654,0,0,0,0.116210960136167,0,0.159430065504859,0,0,0,0,0,0,0,0,0,0,0,0
"IND",0,0,0,0,0,0,0.879031472956679,0,0.419413919413919,0,0,0,0,0.191481347556141,0,0,0,0,0.826923076923077,0.037635193709987,0,0.457243036847242,1.46785931178452,0,0,0,0,0,0,0,0.977272727272727,0
"NO",0,0.327272727272727,0,0,0,0,0.362364806290013,0.729942886017679,0,0,0,0.457692307692308,0,0,0.287635193709987,0,0,0,0,0,1.71236480629001,0.101271557346351,0.640936234861441,0.295454545454546,0,0,0.462364806290013,0.105221949147156,0,0,0,0
"JAX",0,0,0,0,0,0,0,0,0,0,0,0,0.357969201894409,0,0,0,0,0,0.58030303030303,0,0,0.345698139623346,0,0,0.0467261028008963,0,0,0,0,0,0,0
