"","NE","CHI","HOU","NYJ","BUF","WAS","JAX","LA","ARI","LAC","TB","OAK","DEN","DAL","ATL","SF","KC","CAR","PIT","NO","MIN","CIN","CLE","NYG","PHI","GB","IND","TEN","BAL","MIA","SEA","DET"
"NE",0,0,1.03173902027303,0,0.1503663003663,0.693435804901798,1.72979944126543,0,0,0,0,0,0,0.153533892067899,0,0,0,0,0,0,0,0,0,0.153533892067899,0.479799441265434,0,0,0.312916324382317,0,0,0,0
"CHI",0,0,0,0,0,0,0,0.520750009284017,0,0.231816720350728,0.236867225401233,0.429799441265434,0,0,0,0.468260979726973,0.456564195098202,0,0,0,0,0,0,0,0,0.0833333333333333,0,0,0,0,0,0
"HOU",0,0,0,0.144085155551148,0.435585174119181,0,0.610930735930736,0,0,0,0.852876364342357,0,0,0,0.166354404888412,0,0.377418488884482,0,0,0.620708532174525,0,0,0,0,0,0,0.308080808080808,0.214285714285714,0,0.28448627302028,0,0
"NYJ",0.518181818181818,0,0,0,0,0.334561346027339,0,0,0,0,0,0.320200558734566,0,0.441995430529438,0,0,0,0,0,0,0,0,0.0661630776290705,1.13080661934063,0,0,0.342927831461839,0.96616307762907,0,0.31043956043956,0,0
"BUF",0,0,0,0.120535714285714,0,0,0.762508251042258,0,0,0,0,0,0,0.457072168538161,0,0,0.720200558734566,0,0,0,0,0.220708532174525,0,0,0.121482610016617,0,0,0,0,0,0,0
"WAS",0,0.352018740552748,0,0,0.0297994412654341,0,0,0.596466107932101,0,0,0.102526713992707,0,0,0,0,0,0,0,0,0.775253986719979,0,0,0,0.126923076923077,0.666125541125541,0,0,0,0,0,0,0
"JAX",0,0,0,0.598405686939694,0,0,0,0,0,0,0.161109649643657,0,0,0,0.00555701702300992,0,0,0.0131327745987673,0,0,0,0,0,0,0,0,0.411355311355311,0,0,0.0580045694705622,0,0
"LA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.291666666666667,0,0,0,0,0,0,0,0,0,0.300969789503797,0,0,0,0,0,0
"ARI",0,0.594676083210091,0,0,0,0,0,1.40384615384615,0,0,0,0,0,0,0,1.10555555555556,0,0,0.736867225401233,0.293435804901798,0,0,0.659944148478156,0,0.820200558734566,0.42630293776893,0,0,0.0388903503563431,0,0.0487012987012987,0
"LAC",0,0,0,0,0,0,0.403533892067899,0,0,0,0,0.605769230769231,0,0,0,0,0,0,0.763132774598767,0,0.252018740552748,0.303533892067899,0,0,0,1.57020055873457,0,0,0.214645003179011,1.01313277459877,0,0.725253986719979
"TB",0,0,0,0,0,0,0,1.46413995267396,0,0,0,0,0,0.820708532174525,0,0,0,0.312237762237762,0,0,0,0,0,0,0.538149276683284,0,0,0,0,0,0,0
"OAK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0973193473193474,0,0,0,0,0,0,0,0,0.0726565841225768,0,0.262508251042258,0,0,0,0
"DEN",0.329799441265434,0.18383692237093,0,0,0,0,0,0,0,0.346103896103896,0,0.354254079254079,0,0,0,0,0.343406593406593,0,0,0,0,0.0207085321745248,0.132700558734566,0,0,1.04091055237654,0,0,0.263132774598767,0,0,0
"DAL",0,0,0,0,0,0.426282051282051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08636363636364,0.321969696969697,0,0,0,0,1.45201874055275,0,0
"ATL",0,0,0,0,0,1.1934358049018,0,0,0,0,0.1,0,0,0.23383692237093,0,0.115655104189111,0,0,0,0.0965909090909093,0,0,0,0.442927831461839,0,0,0.211850723316716,0.456564195098202,0,0,0,0
"SF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.761109649643657,0,0.896466107932101,0.0589661079321007,0,0,0,0,0,0,0,0,0,0
"KC",0,0,0,0,0,0,0,0,0,0.676136363636364,0,0,0,0,0,0,0,0,0,0,0.191412679946687,0.570200558734566,0,0,0,0,0,0,0,0,0,0.36569687716287
"CAR",0,0,0.0964661079321008,0,0,1.31441482588082,0,0,0,0,0,0,0,0.670200558734566,0.263888888888889,0,0,0,0,0.0456349206349205,0,0,0,0.536867225401233,0.00672251818851088,0,0,1.37020055873457,0,0,0.916354404888412,0
"PIT",0.0257561142901213,0,0,0,0,0,0,0.436867225401233,0,0,0,0.318034735383081,0.396466107932101,0,0,0,0.070200558734566,0,0,0,0,0.312121212121212,0,0,0,0,1.08364559511159,0,0,0,0.454815943349951,0
"NO",0,0,0,0,0,0,0.920708532174525,0,0,0,0.363247863247863,0,0,0.384344895810889,0,0,0,0,0,0,0,0,0,0.153575665041658,0,0,0.354922780956788,0.416978928444921,0,0,0,0
"MIN",0,0.0454545454545454,0,0,0,0,0,0.0726565841225768,0.425756114290121,0,0,0.161109649643657,0.380806619340627,0,0.292422780956788,0,0,0,0,0,0,0,0,0.144085155551148,0,0,0,0,0,0,0,0.0342657342657343
"CIN",0,0,0.134344895810889,0,0,0,0,0.073738835204828,0.249687738221746,0,0,0.570200558734566,0,0,0,0,0,0,0,0,0,0,0.738888888888889,0,0,0,0,0,0,0,0.673389184855178,0
"CLE",0,0,0,0,0,0,0,0.198405686939694,0,0.0550490435830508,0,0.302526713992707,0,0,0,0.990405501871495,0.392422780956788,0,0.13986013986014,0,0,0,0,0,0,0,0,0,0.313811188811189,0,0,0
"NYG",0,0,0,0,0.270200558734566,0,0,0,0,0,0.43383692237093,0,0,0,0,1.06313277459877,0,0,0,0,0,0,0,0,0.00224775224775209,0,0,0,0,0.736867225401233,0,0
"PHI",0,0,0,0.00353389206789934,0,0,0,0,0,0,0,0,0,0,0.147123635657643,0,0,0,0,1.18804119950719,0,0,0,0,0,0,0,0,0,0.929799441265434,0,0
"GB",0,0,0,0,0,0,0,0,0,0,0,0,0,1.42979944126543,0,1.07020055873457,0.404158415624408,0.0493672254012327,0,0,0.216666666666667,0,0,0,0,0,0,0,0,0,0,0.192765567765568
"IND",0.237491748957742,0,0,0,0.997473286007293,0,0,0,0,0,0.129799441265434,0,0.602526713992707,0,0,0,0,0.125347617558095,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TEN",0,0,0,0,0.384344895810889,0,0.446969696969697,0,0,0,0.736867225401233,0,0,0,0,0,0,0,0,0,0,0,0.638382376916384,0,0,0,0.0128205128205129,0,0,0,0,0
"BAL",0,0,0,0,0,0,0.122107133573126,0.00122801269400541,0,0,0,0.252018740552748,0,0,0,1.09292783146184,0.0131327745987673,0,0.228787878787879,0,0,0.25,0,0,0,0,0,0,0,1.09584158437559,0,0
"MIA",0.0256410256410257,0,0,0,0.531565656565657,0.070200558734566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.374243885709879,0.920200558734566,0,0,0,0
"SEA",0,0.775253986719979,0,0,0,0,0,0.272727272727273,0,0,0,0,0,0.670200558734566,0,1.16363636363636,0,0,0,0,1.57020055873457,0,1.16194229840829,0,0,0.070200558734566,0,0,1.07020055873457,0,0,0.366163077629071
"DET",0,0.437301587301587,0,0,0,0,0,0.539897528431536,1.16056867203466,0,0,0.829799441265434,0.179799441265434,0,0,0.293435804901798,0,0,0,0.00656419509820205,0,0,0,0,1.30858732005331,0,0,0,0,0,0,0
