"","DEN","ATL","TEN","PHI","NYJ","NO","KC","BAL","HOU","JAX","SEA","DAL","IND","ARI","WAS","SF","BUF","CAR","PIT","NYG","NE","DET","CLE","LA","LAC","OAK","MIN","CHI","MIA","GB","CIN","TB"
"DEN",0,0,0.475519792707293,0,0,0.528550095737596,0,0,0.182988365800866,0,0,0,1.05478323759574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0437016108891111,0.650344967532468
"ATL",0.42248948967699,0,0,0,0,0,1.20756101537352,0,0,0,0.195216762404262,0,0,0.388116570929071,0,1.25175293456543,0,0.328962703962704,0,0,0,0,0,0.0862424034299036,0,0.175519792707293,0,0,0,0,0,0.217424242424243
"TEN",0,0,0,0,0,0,0.680065247252747,0,0,0,0,0,0.136363636363636,0,0,0,0,0,0,0,0,0.111883429070929,0.016321699134199,0,0,0.0547832375957373,0.115389298201798,0,1.14521676240426,0,0,0
"PHI",0,1.05478323759574,0,0,0,0,0,0.861883429070929,0,0,0.364630681818182,0.340909090909091,0,0,0.0242424242424241,0,0,0,1.1153892982018,0,0,0.000772317959818025,0.727860160672661,0,0,0,0,0.324004641192141,0,0,0.293701610889111,0
"NYJ",0,0,0,0,0,0,0,0.114307047119547,0,0,0.0396317224442222,0,0,0,0,0.650344967532468,0.531668331668332,0,0,0,0,0,0.0285500957375959,0,0,0,0,0,0.136655011655012,0,0.451752934565435,0
"NO",0,0.333333333333333,0,0,0,0,0.700772317959818,0,0,0,1.2214499042624,0,0,0.261883429070929,0,0.759319326506827,0,0.181152181152181,0,0,0,0,0,0.965039647852148,0,0.0699347527472525,0,0,0,0,0,0
"KC",0.436996336996337,0,0,0,0.142662025474525,0,0,0,0.117377934565435,0,0,0,0.265729582917083,0,0,0,0,0,0.560601377788878,0,0,0,0,0,0,0.191025641025641,0,0,0,0,0,0
"BAL",0,0,0,0,0,0,0,0,0,0.419575736763237,0,0,0,0,0,0,0.57700545981796,0,0,0.278550095737596,0,0,0.810606060606061,0,0,0.80716418997669,0,0,0.76690444971695,0,0,0
"HOU",0,0,0.402797202797203,0,0,0,0,0,0,0.185714285714286,0,0,0.162878787878788,0,0,0,0,0,0,0,0.419575736763237,0,0,0,0.304783237595737,0.839156156343656,0,0.0291422119547118,0,0.0573379745254745,0.183571116383616,0
"JAX",0.361330856643357,0,0.660897435897436,0,0,0,1.39759771478521,0,0,0,0,0,0,0,0,0,0.566428883616384,0,0,0,0,0,0,0,0,0.0309737137862136,0,0,0,0.0881165709290708,0,0
"SEA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.358974358974359,0,1.17599535880786,0,0,0,0,0,0.177777777777778,0,0,0,0,0.721449904262404,0.589905407092907,0,0
"DAL",0,0,0,0,0,0,0,1.34266202547453,0,0,0,0,0,0,0,1.31188342907093,0,0,0,0.233333333333333,0,0,1.70910565129315,0,0,0,0,0.638116570929071,0,0.20279251998002,0,0.554783237595738
"IND",0,0,0,0,1.2785500957376,0,0,0,0,0.0384615384615385,0,0,0,0,0,0,0,0,0.110338793151293,0,0,0,0,0,0.369934752747253,0,0.811883429070929,0,0,0,0,0
"ARI",0,0,0,0,1.33357111638362,0,0,0,0,0,0.225274725274725,0,0,0,0.388116570929071,0.0130536130536131,0.754740571928072,0.217944035131535,0,0,0.088116570929071,0,0,1.0279304029304,0,0,1.03496035214785,0,0.440454857642358,0,0,0.0547832375957376
"WAS",0,0,0,0,0,0,0,0.111883429070929,0,0,0,0.234722222222222,0,0,0,0,0,0,0,0,0,0.750772317959818,0,0,0,0,0,0,0,0.0699347527472527,0,0
"SF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.821428571428571,0,0,0,0,0.657337974525475,0,0,0
"BUF",0,0,0,0,0,0,0,0,0,0,1.11188342907093,0,0,0,0,0.965039647852148,0,0,0,0,0.877777777777778,0,1.49922768204018,0,0,0.111883429070929,0,0,0,0,0,0
"CAR",0.30279251998002,0,0,0,0,0,0.0881165709290708,0,0,0,0,0,0,0,0.397597714785215,0.732561015373515,0,0,0,0,0,0,0,0,0,0,0.304783237595738,0,0,0,0,0.108974358974359
"PIT",0,0,0,0,1.16084384365634,0,0,0.0953733766233765,0,0,0,0.569934752747253,0,0,0.611883429070929,0,1.02097433816184,0,0,0.221449904262404,0,0,0.425824175824176,0,0,0,0,0,0,0,0.28968253968254,0
"NYG",0,0,0,0.175,0,0.433571116383616,0,0,0,0,0,0,0,0,0.362470862470863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65734734015984,0
"NE",0.323421890609391,0,0,0,0.678904428904429,0,0,0.173830856643357,0,0,0.088116570929071,0,0,0,0,0.543701610889111,0,0,0.361883429070929,0,0,0,0.881114198301698,0.888116570929071,0,0,0,0,0.508333333333333,0,0.554783237595737,0
