"","NE","BUF","WAS","TEN","HOU","DET","CLE","CHI","CIN","LA","SF","GB","DAL","MIN","DEN","BAL","TB","PIT","NO","KC","JAX","IND","CAR","OAK","LAC","SEA","ATL","NYG","PHI","NYJ","ARI","MIA"
"NE",0,0.805555555555555,0,0,0,0,0,0,0,0,0,0,0,0,1.20068150261452,0,0.108257260190279,0,1.00068150261452,0,0,0,0,0.434014835947855,0.844773042840024,0,0.399318497385478,0,0,0.666666666666667,0,0.0297202797202798
"BUF",0,0,0,0,0,0,0,0,0.132732784665804,0,0,0,0,0,0,0,0,0,0,0.177604579537599,0,0,0,0,0,0,0,0,0,0.590659340659341,0,0
"WAS",0,0,0,0,0,0,0,0,0,0.737045138978158,0.232651830718811,0,0,0.17204577011275,0,0,0,0,0,0,0,0,0,0.899318497385478,0,0,0,0.104578754578755,0,0,0,0
"TEN",0,0,0,0,0,0,0,0,0.822395420462401,0.0881296861966667,0.295125947058967,0,0,0,0,0,0,0,0,0,0,0.304545454545454,0,0,0,0,0,0,0,0,0,0.110205312138332
"HOU",0.31863022056324,0,0,1.09902597402597,0,0,0,0,0.254527656460676,0,0,0,0,0,0,0.267348169281189,0,0,0,0,0,0,0,0,0,0.386395788328808,0,0,0,0,0.377340475407456,0
"DET",0,0,0,0,0,0,0,0,0,0,0,0.322344322344322,0,0,0,0,0,0.300833648900629,0,0,0,0,0.149318497385478,0,0,0,0,0.134014835947855,0,0,0,0
"CLE",0,0,0,0.149318497385478,0.0457364476694671,0.812802714735734,0,0,0,0,0,0,0,0,0,0,0,0.0866550116550117,0,0,0,0.672110074043093,0,0,0,0,0,0,0,0.826591224658205,0,0
"CHI",0,0,0,0,0,0.372727272727273,0.149318497385478,0,1.55522695715998,0,0,0,0,0,0,0.159014835947855,0,0,0,0,0,0,0,0,0,0,0.3215407196077,0,0,0,0,0
"CIN",0,0,0,0,0,0.869015467082448,0.53030303030303,0,0,0,0,0.226555628488648,0,0,0,0,0,0,0,0,0,0.0159851640521447,0,0,0,0,0,0,0,0,0,0
"LA",0,0,0,0,0.0531646512316317,0,0,0,0,0,0,0,0,0,0,0,0,0,0.626591224658205,0,0,0.815985164052145,0,0,0,0.68952713952714,0,0.459655861588881,0,0,0.799242424242424,0
"SF",0,0,0,0,0.0622199641529835,0,0,1.97568150261452,0,0.298076923076923,0,0,0,0,0,0,0,0,0,0,0,0.345436747369767,0,0,0,0,0,0,0,0,0,0
"GB",0,0,0,0,0,0,0.800681502614522,0.0265151515151516,0,0,0,0,0.783221185154205,0,0,0.20151629958328,0,0,0,0,0,0,0,0,0,1.06295486102184,0.171388573321592,0,0,0,0,0
"DAL",0,0,0.513986013986014,0,0,0,0,0,0,0.0993184973854779,0.150681502614522,0,0,0,0,0,0,0,0,0.865985164052145,0,0,0,0.322903724836744,0,0.444773042840024,0,0.427991452991453,0.0574009324009324,0,0,0
"MIN",0,0,0,0,0,0.242424242424242,0.655626557559577,0.345571095571096,0.59162618969317,1.09931849738548,0,0.46474358974359,0,0,0,0.144773042840023,0.172045770112751,0,0.121540719607701,0,0,0,0.644637546570566,0,0,0,0.795125947058967,0,0,0,0,0
"DEN",0,0.434014835947856,0.0237584256914452,0,0,0,0,0,0.565985164052145,0,0,0,0.835215933282914,0,0,0,0,0,0,0.254545454545455,0,1.10068150261452,0,0,0.0253496503496504,0,0,0.346870944937926,0,0.815985164052145,0,0
"BAL",0,0,0,1.02492392685695,0,0.36085695892394,0.615967365967366,0,0.0666666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0.565985164052144,0,0.84815625008927,0,0,0,0,0,0,0,0.554080402147383
"TB",0,0.555226957159977,0,0,0,0.303164651231632,0,0.0993184973854779,0,0,0,1.23704513897816,0,0,0,0,0,0,0.0363636363636363,0,0,0,0.174242424242424,0,0,0,0,0,0,0.0659851640521447,0.240541642474662,0.376322528255548
"PIT",0.132651830718812,0,0,0.758292856359837,0.61886332079634,0,0,0.443338845271865,0.548989898989899,0,0,1.08113667920366,0,0.565985164052144,0,0.534090909090909,0,0,0,1.19159059352361,0.149318497385478,0.517348169281189,0,0,0,0,0,0,0,0,0,0
"NO",0,2.00977241170543,0.262954861021842,0,0,0.0279949679737133,0,0.0281063761733567,0,0,0,0.782499684432704,0,0,0,0,0,0,0,0,0,0,0.259848484848485,0,0,0,0,0,0,0.130087728154709,0,1.32290372483674
"KC",0.172110074043093,0,1.51042960849659,0,1.13401483594786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267348169281189,0,0,0,0.535682133749114
"JAX",0,0,0,0.209090909090909,0.395562770562771,0,0.304848169281189,0,2.22431849738548,0.333384431451412,0.325040476973496,0,0,0,0,0.745472343539324,0,0,0,0,0,0.540404040404041,0,0,0.0169655562090074,0,0,0,0,0.329252931185951,0.207824359757379,0
"IND",0,0.357091759024778,0,0,0.251262626262626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0659851640521447,0
"CAR",0.545125947058966,0.799318497385478,0,0,0,0,0,1.36330776524078,0,0,0.61886332079634,0.134166982233963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.514703112770093,0,0,1.29931849738548
"OAK",0,0.774923926856946,0,0.0784592803923001,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0.28482905982906,0,0,0,0,0,0,0,0.0339338820008626,0.110205312138332,0.299318497385478,0,0
"LAC",0,0.848036446103427,0.918549266616247,0,0,0,0.329874052941033,0,0,0,0,0,1.35068150261452,0,0,0,0,0,0,0.154545454545454,0,0,0,0.759090909090909,0,0,0,0.243538645471665,0,0.787494689427709,0,0.465985164052145
"SEA",0,0,0.316900914967896,0.51826392019694,0,0,0,0,0,0,0.574300699300699,0,0,0,0,0,0,0,0,0,0.0512309531639725,0.765985164052145,0,0,0,0,0.353863951930933,1.10068150261452,0,0,0,0
"ATL",0,0.672045770112751,0,0,0,0.44916635109937,0,0,0,0,0,0,0.199318497385478,0,0,0,0.0111111111111108,0,0.351923076923077,0,0,0,0.0224358974358975,0,0,0,0,0,0,0.31863022056324,0,0
"NYG",0,0,0,0,0,0,0,0,0,0,0.000681502614521934,0,0,0,0,0,0.434014835947855,0,0,0,0,0,0,0,0,0,0,0,0.16025641025641,0,0,0
"PHI",0,0,0.075,0,0,0,0,1.41447001253699,0,0.921194323127343,0.360856958923939,0,0,0,0.518366116433097,0,0,0,0,1.10068150261452,0,0,0,0,0.989570391503411,0.400681502614522,0,0,0,0,0.172045770112751,0
"NYJ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09931849738548,0,0,0.0659851640521447,0,0,0,0,0,0,0,0,0
"ARI",0,0,0.485296887229907,0.0659851640521445,0,0.555809707742727,0,0,0,0,0.145238095238095,0,0.578805676872657,0,0,0,0,0,0,0,0,0,0,0,0,0.598901098901099,0,0.503714101781082,0,0,0,0
"MIA",0,0.0871212121212122,0,0,0,0,0,0,0,0,0,0,0,0,0.0132890856207721,0,0,0,0,0,0,0,0,0.134166982233963,0,0,0.211792613725633,0,0,0.348443223443224,0,0
