"","PHI","BAL","NYG","NO","NE","MIN","MIA","IND","CLE","LAC","DEN","CAR","ARI","GB","DET","OAK","CIN","ATL","WAS","TEN","TB","PIT","NYJ","BUF","SF","LA","JAX","DAL","CHI","HOU","KC","SEA"
"PHI",0,0,0.30448717948718,0,0,0,0,1.0083961079045,0,0,0,0.139709239217632,0,0,0,0,0,0.220517320025713,1.71717171717172,0.33251298300459,0.41218331267492,0,0,0,0,0,0.68251298300459,0,0,0,0,0
"BAL",0,0,0,0.153598128106521,0,0,0,0,0.45,0.165846316337923,0,0.0825129830045901,0,0,0,1.29122439073278,0.430361305361305,1.18251298300459,0,1.3956442961359,1.48415368366208,0,0,1.1079632074716,0,0,0,0,0,0,0,0
"NYG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208333333333333,0,0,0,0,0,0,0,0,0.0734848484848484,0,0.0825129830045901,0,0
"NO",1.28112338063177,0,0.48251298300459,0,0,0,0,0,0.0841536836620767,0,0,0,0,0,0,0,2.08251298300459,0.00594405594405589,0.61748701699541,0,0,0,0,0,0,0.553850653359046,0,0,0,0,0,0
"NE",0,0,0,0,0,0.712941562449955,1.04545454545455,0,0,0,0,0,0,0.172032471540864,0,0,0,0,0,0,0,0,0.781818181818182,0.45,0,0,0,0,0,0.286717786226179,0.864456713965107,0
"MIN",0.0734220739136808,0,0,0.49248701699541,0,0,0.518885618394011,0,0,0,0,0,0.115289214797608,0.181410256410256,0.0845959595959594,0,0,0,0,0,0,0,0.0236894535928254,0.212941562449955,0,0.355240255731863,0,0,0,0,0,0
"MIA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.274820675312282,0,0
"IND",0,0,0.41748701699541,0,0.225370125861733,0,0.834153683662077,0,0,0,0,0,0,0,0,1.08251298300459,0.108396107904501,0,0,0.923076923076923,0,0,0.544051444543052,0.38718398669238,0,0,0,0.328201302709695,0,0,0,0
"CLE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285353535353535,0,0,0,0,0,0.269135368643762,0,0,0,0,0,0,0,0,0
"LAC",0,0,0,0,0,0,0,0,0.467128367619975,0,0.477564102564103,0,1.64475974426814,0,0,0.261111111111111,0,0,0,0,0,0,0,0.287058437550045,0,0,0,0,0,0,1.03535353535354,0
"DEN",0,0.0522099527015598,0,0,0,0,0,0,0.00839610790450074,0,0,0,0.30302580351741,0,0,0.0136363636363636,0,0,0,0,0,0,0.697897598389206,0,0,0,0,0,0,0.0993051988135918,0.075,0.765106064614457
"CAR",0,0,0.0841536836620767,0.0454545454545454,0,0,0,0,0.991603892095499,0,0,0,0,0,0.264331164822772,0,0,0.618939393939394,0.646149346640954,0,0.236305361305361,0,0,0,0,0,0,0.190214289722683,0,0,0,0.361931461439854
"ARI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0674870169954098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173422073913681,0
"GB",0,0,0,0,0,0,0.350820350328743,0,0,0,0,0,0.281123380631773,0,0,0,0,0,0,0,0,0,0.781230931722539,0.834153683662077,0.584153683662076,0,0,0,0,0,0,0
"DET",0,0,0,0,1.21748701699541,0,0.638068538560145,0,0,0,0,0,0,0.0530303030303031,0,0,0,0,0,0,0,0,0,0,0.396615547107154,0,0,0,0.0393939393939393,0,0,0.01748701699541
"OAK",0,0,0,0,0,0,1.17342207391368,0,0.285908069626989,0,0,0,0.368227268718876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0
"CIN",0,0,0,0,0,0,0.0720324715408645,0,0,0.28251298300459,0.353384452892846,0.264331164822772,0,0,0,0.302102401610794,0,0.915846316337924,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATL",0,0,0.01748701699541,0,0,0,0,0,0.68251298300459,0,0,0,0.548439397947791,0.0825129830045901,0,0,0,0,0.860290760782368,0,0.14469696969697,0,0,0,0,0,0,0.0702647947731876,0,0,0,0
"WAS",0,0,0,0,0,0,0,0.402335501843895,0,0,0,0,1.58251298300459,0.000820350328743391,0,0,0,0,0,0,0,0,0,0,0,0,0.314836215327822,0,0,0.106880956389349,0,0
"TEN",0,0,0.78251298300459,0,0.675062774571167,0,0.258337158828766,0,0,1.40195742744903,0,0,0,0,0,0,0,0,0.29248701699541,0,0,0,0.263640863149256,0,0,0,0.331818181818182,0.48251298300459,0,0,0,0
"TB",0,0,1.17342207391368,0.071969696969697,0,0,0,0,0.828201302709696,0,0,0,0,0,0,0,0.697897598389206,0,1.15082035032874,0,0,0.244410093918487,0,0,0.099305198813592,0,0,1.08251298300459,0,0,0,0
"PIT",0,0.0833333333333334,0,0.264331164822772,0.21748701699541,0,0,0,0.38663967611336,0.0174870169954096,0.809785710277318,0.681123380631773,0,0,0,0.38251298300459,0.668181818181818,0.11748701699541,0,0,0,0,0,0,0,0,0.349179649671257,0,0,0,0.898256247764641,0
"NYJ",0,0,0,0,0,0,0.432692307692308,0,0,0,0,0,0,0,0.153941554433161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.485668835177228,0,0
"BUF",0,0,0,0,0,0,0.565268065268065,0,0,0,0,0,0,0,0.335668835177228,0,0,0,0,0.250820350328743,0,0,0.821969696969697,0,0,0,0,0,0.572248921757315,0,0,0
"SF",0,0,0.462941562449955,0,0,0.165846316337924,0,0,0,0.271324171815779,0.432638532146925,0,0.687645687645688,0,0,0.31748701699541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155594405594406
"LA",0.41748701699541,0,0,0,0,0,0,0,0,1.8063759058843,0.173422073913681,0,1.67222222222222,0.455948555456948,0.0120001624917696,0.564331164822772,0,0,0,0,0,0,0,0,0.45483682983683,0,0,0,0,0,0.0508203503287432,0
"JAX",0,0,0.0467986972903043,0,0.826577926086319,0,0.78251298300459,0.0636363636363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.895508995017388,0.935077085568693,0,0,0,0,0,0,0.33251298300459,0
"DAL",0.569580419580419,0,0,0.806375905884299,0,0,0,0,0,0,0,0,0,0,0.556375905884299,0,0,0,0.0996503496503497,0,0,0,0,0,0,0,1.17506277457117,0,0,0,0,0.0312309317225388
"CHI",0,0,0.263465363956971,0,0.450454049962443,0.4,0.0825129830045901,0,0,0,0,0,0.809785710277317,0.183333333333333,0,0,0,0,0,0,0.862941562449955,0,1.02657792608632,0,0.638068538560146,0.257230606739,0,0,0,0,0,0.319002168510561
"HOU",0.264331164822772,0,0,0,0,0,0,0.229004329004329,0.650820350328743,0,0,0,0,0,0,0,0,0,0,0.50530303030303,0,0,0,0.16748701699541,0,0,0.651515151515152,0.923897273405667,0,0,0,0
"KC",0,0.162941562449956,0,0,0,0,0,0,0.193624094115701,0,0,0,0,0,0,0,2.22051732002571,0,0,0,0,0,0,0,0.473042572550966,0,0,0,0,0,0,0
"SEA",0,0,0,0,0,0.262941562449955,0,0,0,0.11748701699541,0,0,0.155344655344655,0.561426410934804,0,0.318624094115701,0,0,0,0,0,0,0,0,0,0.00656565656565666,0,0,0,0,0.500820350328743,0
