"","team","win_perc_2016"
"1","DEN",0.53125
"2","ATL",0.75
"3","TEN",0.5625
"4","PHI",0.4375
"5","NYJ",0.3125
"6","NO",0.46875
"7","KC",0.6875
"8","BAL",0.5
"9","HOU",0.5625
"10","JAX",0.1875
"11","SEA",0.65625
"12","DAL",0.8125
"13","IND",0.5
"14","ARI",0.46875
"15","WAS",0.53125
"16","SF",0.125
"17","BUF",0.4375
"18","CAR",0.40625
"19","PIT",0.6875
"20","NYG",0.6875
"21","NE",0.875
"22","DET",0.5625
"23","CLE",0.0625
"24","LA",0.25
"25","LAC",0.3125
"26","OAK",0.75
"27","MIN",0.5
"28","CHI",0.1875
"29","MIA",0.625
"30","GB",0.625
"31","CIN",0.40625
"32","TB",0.53125
