"","PIT","CLE","NO","TB","HOU","IND","CIN","CAR","BAL","ATL","ARI","SEA","NYG","GB","NE","OAK","DET","WAS","TEN","PHI","NYJ","KC","JAX","SF","BUF","LAC","DEN","CHI","DAL","MIA","MIN","LA"
"PIT",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,8.5,5.5,0
"CLE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5,1.5,0,0,0,0,10.5,3.5,0,0,0,0,0,0,0,0,0
"NO",0,0,0,14.5,0,0,0,0,0,5.5,0,0,18.5,0,18.5,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,13.5,0,7.5
"TB",0,0,0,0,0,0,0,0,0,0,0,19.5,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
"HOU",0,0,0,0,0,0,13.5,0,0,0,0,20,0,0,5.5,0,0,0,0,0,0,0,0,0.5,20,0,0,0,0,9.5,0,5.5
"IND",0,0,0,0,5,0,0,0,4.5,0,0,0,0,0,0,0,0,0,16,0,0,0,6.5,1.5,0,0,9.5,0,0,0,0,20
"CIN",8.5,6.5,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,6.5,0,0,0,0,4.5,0,0,0,0,0,20,0,0,0,0
"CAR",0,0,2,9,0,0,0,0,0,6.5,14.5,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5,0
"BAL",0,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,20,0,0,0,0,0,0,0,0,0,20,20,0,0,0.5,0
"ATL",0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,5.5,0,0,0,20,0,0,4.5,0,0,0,0
"ARI",0,0,0,0,3.5,0,0,0,0,0,0,17.5,9.5,0,0,0,10.5,0,0,0,0,0,0,0,0,0,0,20,0,0,10.5,14.5
"SEA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,11.5
"NYG",0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0
"GB",1.5,20,0,0,0,0,0,0,10.5,0,20,20,0,0,0,0,20,0,0,0,0,0,0,3.5,0,0,0,9.5,7.5,0,0,0
"NE",0,0,0,20,0,1.5,0,7.5,0,0,0,0,0,0,0,0,0,0,20,0,14.5,0,20,0,9.5,0,0,0,0,4.5,0,0
"OAK",5.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,3.5,0,0,0,0,0
"DET",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0
"TEN",0,0,0,0,5.5,0,0,0,0,0,0.5,6.5,0,0,0,0,0,0,0,0,0,0,14.5,8.5,19.5,0,0,0,0,0.5,0,20
"PHI",0,0,0,0,0,0,0,0,0,20,0,0,14,0,0,0,0,6,0,0,0,0,0,11.5,0,0,0.5,6.5,0,0,0,0
"NYJ",0,0,0,20,0,14.5,20,7.5,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
"KC",0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JAX",0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0.5,0,0,0.5,0,0,0,0,0,0,1.5
"SF",0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,11.5,0,0,0,0,0,14.5,0,0,0,0,1.5,0,0,0,20
"BUF",0,0,0,0,0,20,0,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,0,0,0,0,0,0,0,14.5,0,0
"LAC",0,9.5,0,0,0,0,0.5,0,0,0,0,0,3.5,0,0,5.5,0,0.5,20,5.5,0,20,0,0,0,1,9,0,5.5,0,0,0
"DEN",0,0,0,0,0,0,0,0,0,0,0,0,17.5,0,0.5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"CHI",0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5
"DAL",0,0,9.5,0,0,0,0,0,0,12.5,0,17.5,0,0,0,14.5,0,9,0,14,0,0,0,0,0,0,0,0,0,0,0,0
"MIA",0,0,0,0,0,0,0,9.5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6.5,0,0,0,0,0,0,0,0,0
"MIN",0,0,0,0,0,0,17.5,0,0,0,0,20,20,14.5,0,0,14.5,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
"LA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
