"","GB","BAL","LA","TB","CHI","KC","JAX","HOU","CLE","LAC","SF","ARI","WAS","NYJ","MIA","DEN","DET","BUF","PIT","NO","CAR","MIN","TEN","IND","NE","ATL","NYG","CIN","PHI","OAK","SEA","DAL"
"GB",0,0,18.5,6.5,11.5,0,0,0,0,7.5,0,0,0,0,0,0,8,0,0,0,0,21.5,0,0,0,13.5,4.5,0,0,27.5,0,0
"BAL",0,0,0,0,0,0,0,12.5,10,0,7.5,1.5,0,0,0,0,0,0,5.5,0,0,0,0,11.5,0,0,0,7.5,0,0,0,0
"LA",0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0
"TB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHI",0,0,0,8.5,0,0,0,0,0,8.5,0,0,0,0,0,0,5,0,0,0,0,16,0,0,0,0,0,0,9.5,0,0,0
"KC",2.5,0,0,0,9.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5,0,0
"JAX",0,2.5,0,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
"HOU",0,0,0,30.5,0,0,9,0,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,4.5,0,3.5,0,0,0,0
"CLE",0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
"LAC",0,17.5,0,0,0,0,26.5,0,0,0,0,0,0,0,0,1.5,0,24.5,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0
"SF",0,0,16.5,41.5,0,0,0,0,7.5,0,0,7,10.5,0,0,0,8.5,0,14.5,0,0,0,0,0,0,0,4.5,0,0,0,4.5,0
"ARI",0,0,4.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0.5,3.5
"WAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5,0,0,0,8.5,0
"NYJ",0,0,0,0,0,24.5,0,0,0,4.5,0,0,17.5,0,7.5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIA",0,0,0,0,0,30.5,0,0,0,0,0,0,8.5,0,0,0,0,16.5,0,0,0,0,0,0,0,0,0,0,0,16.5,0,1.5
"DEN",0,0,0,0,0.5,1.5,0,0,0,0,0,0,0,0.5,5.5,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,15.5,0,0
"DET",0,0,0,0,0,0,0,0,0,24.5,0,0,0,0,0,35.5,0,0,0,0,11.5,1.5,0,0,0,0,0,0,0,4.5,0,0
"BUF",0,0,0,0,0,0,0,0,0,0,0,0,20.5,0,0,20.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PIT",0,0,24.5,0,0,6.5,1.5,0,7.5,0,0,14.5,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,17,0,0,0,0
"NO",0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,11.5,0,0,0,25.5,24.5,7.5,51.5,0,15.5,22.5,0,0,0,0,0
"CAR",0,0,0,25.5,0,0,0,17.5,0,0,0,0,10.5,0,0,0,0,0,0,0,0,0,0,10.5,0,0,0,0,0,0,0,0
"MIN",0,0,0,0,0,0,0,0,0,0,0,0,9.5,0,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0
"TEN",0,0,0,4.5,0,0,3.5,0,0,0,0,0,0,0,0,0,0,8.5,0,0,28.5,0,0,1.5,0,0,0,0,0,0,0,0
"IND",0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NE",0,0,0,0,0,27.5,0,0,0,0,0,0,8.5,14.5,0.5,20.5,0,24.5,0,0,0,0,0,4.5,0,0,0,0,20.5,0,0,1.5
"ATL",0,0,0,19.5,0,0,24.5,0,0,0,0,0,0,0,0,0,9.5,0,0,0,11,7.5,3.5,27.5,0,0,0,0,0,0,0,0
"NYG",0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,0.5,0,0,0.5,0,0,0,0,0,0,6.5,0,0,0,0,0,0,10
"CIN",0,0,9.5,0,0,0,0,0,0.5,0,0,4.5,0,0,0,0,0,0,0,0,0,0,9.5,6.5,0,0,0,0,0,0,22.5,0
"PHI",0,0,0,0,0,0,0,0,0,0,0,0,15.5,22.5,18.5,0,0,0,0,0,0,0,0,0,0,0,9.5,0,0,0,0,20
"OAK",0,0,0,0,2.5,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,8.5,0,0,0,0,0,0,0,0,0,0
"SEA",0,2.5,16.5,0,25.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5,0,0,0
"DAL",0,0,24.5,19.5,0,0,0,0,0,0,0,0,5.5,0,0,0,0,33.5,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0
