"","PHI","BAL","NYG","NO","NE","MIN","MIA","IND","CLE","LAC","DEN","CAR","ARI","GB","DET","OAK","CIN","ATL","WAS","TEN","TB","PIT","NYJ","BUF","SF","LA","JAX","DAL","CHI","HOU","KC","SEA"
"PHI",0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.5,0,0,0,0,0,0,9.5,8.5,0,0,0,0,0
"BAL",0,0,0,0,0,0,0,0,0,14.5,0,0,0,0,0,12.5,0.5,12.5,0,23.5,5.5,0,0,0,0,0,0,0,0,0,0,0
"NYG",0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,6.5,0,0,0,0,0,0,0
"NO",38.5,3.5,0,0,0,11.5,0,0,0,0,0,0,0,0,0,0,39.5,11.5,21.5,0,16.5,0.5,0,0,0,7.5,0,0,0,0,0,0
"NE",0,0,0,0,0,11.5,1.5,0,0,0,0,0,0,11.5,0,0,0,0,0,0,0,0,24,15,0,0,0,0,8.5,0,0.5,0
"MIN",3.5,0,0,0,0,0,22.5,0,0,0,0,0,8.5,4.5,16,0,0,0,0,0,0,0,22.5,0,0,0,0,0,0,0,0,0
"MIA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0.5,0,0,0
"IND",0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,16.5,0,0,0,22.5,0,0,0,29.5,0,0,0,20.5,0,5.5,0,0
"CLE",0,0.5,0,0,0,0,0,0,0,0,3.5,3.5,0,0,0,0,11.5,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAC",0,0,0,0,0,0,0,0,26.5,0,5,0,32.5,0,0,15,2.5,0,0,0,0,3.5,0,0,0,0,0,0,0,0,3.5,10.5
"DEN",0,0,0,0,0,0,0,0,0,0,0,0,35.5,0,0,0,16.5,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0
"CAR",6.5,12.5,0,7,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0
"ARI",0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
"GB",0,0,0,0,0,0,16.5,0,0,0,0,0,0,0,0,0,0,10.5,0,0,0,0,8.5,0,0.5,0.5,0,0,0,0,0,0
"DET",0,0,0,0,0,0,13.5,0,0,0,0,0,15.5,33.5,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0
"OAK",0,0,0,0,0,0,0,0,0,0,9.5,0,4.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0
"CIN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATL",0,0,0.5,0,0,0,0,0,0,0,0,16.5,22.5,0,0,0,0,0,26.5,0,3.5,0,0,0,0,0,0,0,0,0,0,0
"WAS",0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,15.5,0,0,0,0,0,6.5,0,0,0,0,0
"TEN",0,0,19.5,0,21.5,0,0,0,0,1.5,0,0,0,0,0,0,0,0,6.5,0,0,0,2.5,0,0,0,22.5,16.5,0,0,0,0
"TB",0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,15.5,0,0,0,0,0,0,0
"PIT",0,9.5,0,0,4.5,0,0,0,12.5,0,0,27.5,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0,0
"NYJ",0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BUF",0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5,0,0,0,0.5,0,0,0,0,0
"SF",0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,28.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LA",0,0,0,0,0,0,0,0,0,0,5.5,0,24.5,0,16.5,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,3.5
"JAX",0,0,0,0,0,0,11.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DAL",6.5,0,3.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,3,0,3.5,0,0,0,0,0,30.5,0,0,0,0,0
"CHI",0,0,0.5,0,0,8.5,0,0,0,0,0,0,0,4.5,9,0,0,0,0,0,0,0,11.5,32.5,7.5,6.5,0,0,0,0,0,0
"HOU",0.5,0,0,0,0,0,16.5,0,12.5,0,4.5,0,0,0,0,0,0,0,3.5,14.5,0,0,9.5,3.5,0,0,15,0.5,0,0,0,0
"KC",0,0.5,0,0,0,0,0,0,18.5,0,4.5,0,9.5,0,0,19,31.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
"SEA",0,0,0,0,0,10.5,0,0,0,0,0,5.5,2.5,0.5,16.5,26.5,0,0,0,0,0,0,0,0,12,0,0,0,0,0,4.5,0
