"","NYG","CHI","KC","CLE","NO","DET","TEN","MIN","NYJ","HOU","ARI","GB","TB","DEN","BAL","OAK","MIA","JAX","CIN","BUF","PHI","CAR","NE","IND","LA","SEA","PIT","LAC","SF","ATL","DAL","WAS"
"NYG",0,0,0,0,20,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,20,0,6.5,1.5
"CHI",0,0,0,0,0,4,20,6,0,0,16.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0
"CLE",0,0,19.5,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0
"NO",0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,11.5,0,0,0,0,0,0,4.5,0,0,5.5,0
"DET",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.5,0,0,5.5,0,0,0,0,1.5,0,0,0,0,0,0
"TEN",0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,20,4.5,0,3.5,0,0,0,0,0,0,0.5,0,0,0,0,0
"MIN",0,0,0,0,0,7.5,20,0,0,19.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5,0,0,0,0,0,0,0
"NYJ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,0,0,0,0,0,20,16.5,0,0,0,0,0,0,0
"HOU",0,9.5,0,0,0,11.5,16.5,0,8.5,0,0,0,0,0,20,0,0,3.5,0,9.5,0,0,0,0,0,0,0,0,0,0,0,0
"ARI",0,0,0,0,0,20,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GB",0,10.5,0,0,0,4.5,20,3,0,20,11.5,0,0,0,0,0,0,5.5,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0
"TB",0,0,20,0,0,0,0,20,0,0,0,0,0,0,0,12.5,0,0,0,0,0,9.5,0,0,0,0,0,5.5,0,2,0,0
"DEN",0,0,20,19.5,17.5,0,0,0,0,0,0,0,4.5,0,18.5,15.5,0,0,10.5,0,0,20,0,0,0,0,0,9,0,0,0,0
"BAL",16.5,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,0,0
"OAK",0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
"MIA",0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,18.5,0,5,0,0,0,0,0.5,0.5,0,0,0,0,0,0
"JAX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CIN",15.5,0,20,0,0,0,0,0,0,0,0,0,0,0,2.5,20,0,0,0,0,20,0,0,0,0,0,0,10.5,0,0,0,0
"BUF",0,0,0,0,0,0,0,0,15.5,0,5.5,0,0,0,0,0,0,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PHI",0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAR",0,1.5,0,0,9.5,0,0,0,0,0,0,0,0,0,0,8.5,0,0,0,0,10.5,0,0,0,0,0,0,20,0,7.5,0,10.5
"NE",0,0,0,0,0,0,0,0,15.5,20,0,0,0,7.5,0,0,17.5,9.5,0,3.5,0,0,0,20,20,1.5,0,0,0,0,0,0
"IND",0,0,8.5,1.5,0,4.5,5,0,0,0.5,0,0,0,0,0,0,0.5,18.5,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0
"LA",0,0,0,0,0,0,0,0,0,0,14.5,0,16.5,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0.5,0,0,0
"SEA",0,8.5,0,0,0,0,0,7.5,19.5,0,20,0,0,0,0,0,0,0,0,20,0,0,0,0,4.5,0,0,0,10.5,0,0,0
"PIT",7.5,0,0.5,3.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,12.5
"LAC",0,0,13.5,1.5,0,0,0,0,11.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,11.5,0,0,0,0,0
"SF",0,20,0,0,10.5,0,0,0,0,0,17.5,0,0,0,0,0,11.5,0,0,20,0,0,9.5,0,0,0,0,0,0,0,0,0
"ATL",20,0,0,0,3,15.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,15.5,0,0,0,0,0,0,0,0,0,3.5,0
"DAL",0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,3.5,0,8,7.5,0,0,0,0,0.5,0,0,0,0,0
"WAS",0,0,0,19.5,0,0,0,8.5,0,0,0,0,0,0,0.5,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,8.5,0
