"","SEA","ATL","LA","PIT","PHI","NYJ","BAL","CHI","HOU","KC","MIA","TB","DAL","DEN","DET","ARI","BUF","WAS","TEN","NYG","MIN","CLE","CIN","CAR","LAC","OAK","GB","SF","IND","NO","JAX","NE"
"SEA",0,0,6,0,12.5,0,0,0,0,0,0,0,0,0,0,20,0,12.5,0,18.5,0,0,0,6.5,0,3.5,0,13,0,0,0,0
"ATL",0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,0,0
"LA",0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,20,0,0,0,0,0,0,0,20,0,0,0,0,0,0
"PIT",0,8.5,0,0,0,0,17.5,0,4.5,5.5,0,0,0,0,0,0,0,0,4.5,0,0,0,15,0,0,0,0,0,13.5,0,0,0
"PHI",0,0,0,0,0,0,0,0,13.5,0,0,0,6,0,0,0,0,0,20,17,0,0,0,19.5,0,0,0,0,0,0,0,0
"NYJ",0,0,0,4.5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0
"BAL",0,19.5,0,0,0,0,0,0,0,0,17.5,20,0,0,0,0,0,0,11.5,0,0,7.5,0,0,0,0,0,0,0,8.5,4.5,0
"CHI",0,16.5,0,0,0,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"HOU",0,0,0,0,0,0,9.5,0,0,0,0,0,0,0,0,0,0,0,19.5,0,0,18.5,0,0,0,0,0,0,0,0,10.5,0
"KC",1.5,0,20,0,0,11.5,0,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0,0,0,0,7.5,6.5,0,0,0,0,0,0
"MIA",0,0,0,0,0,0,0,15.5,0,0,0,0,0,0,0,0,10.5,0,0,0,0,0,0,0,20,0,0,0,0,0,14.5,0
"TB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
"DAL",10.5,0,0,0,0,0,0,15.5,0,0,0,0,0,0,0,0,0,11.5,0,6.5,0,0,0,0,0,0,0,0,20,0,16.5,0
"DEN",0,0,0,0,0,15.5,0,0,0,15.5,0.5,0,0,0,0,0,4.5,0,0,0,0,0,0,0,13,20,0,20,0,0,0,0
"DET",0,3.5,0,0,0,0,0,11.5,0,0,1.5,14.5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
"ARI",0,0,10.5,0,1.5,0,0,0,0,0.5,0,0,14.5,0,5.5,0,0,6.5,0,0,0,0,0,0,0,13.5,0,0,0,0,0,0
"BUF",0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0.5,4.5,0,0,0,0,0
"WAS",0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NYG",0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,20,0,0,0,0,0,0,0,0,0,0,0,2.5,0
"MIN",0,0,0,0,0,2.5,0,0,0,0,0.5,8.5,0,0,0,0,1.5,0.5,0,0,0,0,0,13.5,0,0,0,0,0,0,0,0
"CLE",0,4.5,0,18.5,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0
"CIN",0,0,0,0,0,0,0.5,0,12.5,0,0,3.5,0,6.5,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,19.5,7.5,0
"CAR",0,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,2.5,0,0,0,0,0,0,6.5,0,0
"LAC",0,0,0.5,0,0,20,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5.5,0,0,0,0
"OAK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,0,0,0,0
"GB",0,3.5,0,0,20,0,0,20,0,0,5.5,19.5,0,0,6.5,0,0,0,0,0,5.5,0,0,18.5,0,0,0,0,0,0,0,2.5
"SF",0,0,5,0,0,0,0,0,0,2.5,0,0,0,0,0,0.5,0,1.5,0,8.5,0,0,0,0,0,0,0,0,0,5.5,0,0
"IND",0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,18.5,19.5,18.5,0,5.5,20,0,0,0,0,0,0,0,17.5,0
"NO",0,0,0,5.5,0,0,0,18.5,0,0,0,5.5,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,18.5,0,0,0,0,0
"JAX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,15.5,0,0,0,0,0,0,0,0,0,0
"NE",0,0,0,0,0,1.5,0,20,0,0,20,0,0,18.5,20,0,3.5,0,0,0,0,0,20,0,12.5,0,0,0,20,0,0,0
