"","NO","TB","PIT","CHI","NYG","TEN","JAX","BUF","NE","HOU","PHI","LA","SEA","WAS","NYJ","KC","GB","CIN","CAR","ATL","DET","DAL","MIN","CLE","OAK","DEN","LAC","IND","SF","BAL","ARI","MIA"
"NO",0,7.5,10,0,0,0,0,0,0,0,0,17,15,0,0,0,0,4,16,0.5,0,3,5,0,0,0,0,0,3,0,0,0
"TB",0,0,0,0,0,0,0,0,0,0,0,1,23,1,0,0,0,2,14,0,0,0,0,3,0,0,0,0,21,0,2,0
"PIT",0,24,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,10,24,6,0,0,0,25,32,0,0,0,0,0,0,1
"CHI",0,0,0,0,0,0,0,3,0,0,5,0,0,0,5,0,0,0,17,0,4.5,8,19,0,0,0,0,0,0,0,0,16
"NYG",0,0,0,14,0,0,4,0,0,24,0,0,34,13.5,0,0,0,0,13,0,8,0,18,0,0,0,0,0,0,0,0,0
"TEN",0,0,0,0,21,0,8,0,0,0,17,0,0,0,0,0,0,0,0,0,0,7,0,0,25,0,0,0,0,0,0,0
"JAX",0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,5,7,7,0,0,0,0,0,0
"BUF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,2,0,0,7,0,0,0,0,0,0,0,0
"NE",0,0,13,28,0,0,0,19.5,0,0,0,0,0,0,14,0,3,13,0,0,21,0,10,0,0,0,3,3,0,3,0,27.5
"HOU",0,0,0,0,0,3,5,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
"PHI",0,0,0,0,8,0,25,0,0,10,0,0,0,12.5,0,0,0,0,0,14,3,3,0,0,0,0,0,2,4,0,0,0
"LA",0,0,0,0,0,0,0,0,0,0,0,0,3.5,14,0,0,0,0,10,0,0,0,0,0,0,3,3,0,3,0,3.5,0
"SEA",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,7,0,3,0,15,0
"WAS",0,0,0,3,0,4,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"NYJ",0,0,5,0,0,0,0,27.5,0,3,0,0,0,0,0,0,0,16,0,0,3,0,8,6,0,4,0,0,0,0,0,2
"KC",0,0,0,0,0,19,21,3,0,0,0,14,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21,0,18,0
"GB",0,0,0,3.5,28,0,0,27,0,0,7,0,0,0,9,0,0,0,0,0,0,36,15.5,0,0,0,0,0,18,0,0,0
"CIN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,14,0,0,0,0,0
"CAR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0
"ATL",0,5,0,0,0,0,0,0,0,0,0,17,15,0,0,0,3,7,20.5,0,0,0,0,9,0,0,0,0,3,5,34,0
"DET",0,3,0,0,0,0,0,0,0,0,0,43,0,12,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"DAL",0,0,0,0,2.5,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,2,0,0,1,0
"MIN",0,0,0,0,0,0,0,25,0,0,9,0,0,4,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,4,0
"CLE",11,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,3
"OAK",0,0,0,0,0,0,0,0,0,0,0,4,30,0,0,11.5,0,0,0,0,0,0,0,0,0,30,10.5,0,0,0,0,0
"DEN",0,0,0,0,0,6,0,0,0,1,0,0,17,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAC",0,0,0,0,0,8,25,0,0,6,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,13,0,20,27,0,31,0
"IND",0,0,0,0,23,2.5,4,0,0,1,0,0,0,3,0,10,0,5,0,0,0,0,0,0,5,14,0,0,0,0,0,0
"SF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,25.5,0
"BAL",6,7,0,0,0,0,0,3,0,6,0,0,0,0,1,0,0,0.5,22,0,0,0,0,8.5,0,14,0,0,0,0,0,16
"ARI",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,0,0,0,0,0,0
"MIA",0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,3,8,0,0,0,0,3,0,16,0,0,0,0,0,0,0
