"","SEA","ATL","LA","PIT","PHI","NYJ","BAL","CHI","HOU","KC","MIA","TB","DAL","DEN","DET","ARI","BUF","WAS","TEN","NYG","MIN","CLE","CIN","CAR","LAC","OAK","GB","SF","IND","NO","JAX","NE"
"SEA",0,0,6,0,10,0,0,0,0,0,0,0,0,6,0,22.5,0,10,0,21,0,0,0,4,0,6,20,13,0,0,0,0
"ATL",0,0,0,0,0,0,0,0,0,0,0,25.5,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
"LA",0,0,0,0,0,0,0,0,0,0,0,2,0,15,0,0,0,23,0,0,0,0,0,0,0,51,0,0,0,0,0,0
"PIT",0,6,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,2,0,0,0,15,17,0,0,0,0,16,0,7,0
"PHI",0,0,4,0,0,0,0,0,11,0,0,0,6,0,0,0,0,0,25,17,0,0,0,22,0,0,0,0,3,0,16,0
"NYJ",0,0,0,7,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0
"BAL",0,22,0,0,0,0,0,0,0,0,15,31,0,0,0,0,0,0,14,0,0,6,0,28,0,0,0,0,0,6,7,0
"CHI",0,14,0,0,0,7,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0
"HOU",0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,5,10,19.5,0,0,16,0,0,0,16,0,0,0,0,10.5,0
"KC",4,0,27,0,0,14,0,0,0,0,19,0,0,0,0,0,4,0,0,0,0,0,0,0,7.5,6.5,0,0,0,0,0,26
"MIA",0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,37,23,0,0,0,0,12,0
"TB",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DAL",8,0,3,0,0,0,0,13,3,0,0,0,0,0,0,0,0,11.5,16,6.5,0,0,0,0,0,0,0,0,35,21,14,0
"DEN",0,0,0,0,0,13,0,0,0,10,3,0,0,0,0,21,7,0,0,0,0,0,0,0,13,28.5,0,25,7,0,0,0
"DET",0,1,0,0,0,7,0,11.5,0,0,4,17,0,0,0,0,0,0,0,21,8,0,0,0,0,0,1,0,0,1,0,0
"ARI",0,0,10.5,0,4,0,0,0,0,3,0,0,12,0,8,0,0,9,0,11,0,0,0,0,1,11,0,3,0,0,0,0
"BUF",0,0,0,0,0,27,0,3,0,0,3,0,0,0,4,0,0,0,0,0,1,15,0,0,0,0,7,0,0,0,0,0
"WAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,31,0
"TEN",0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NYG",0,10,10,0,0,0,0,0,13,0,0,0,0,0,0,0,0,21,29,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIN",0,13,27,0,0,5,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,16,0,0,0,0,0,0,0,0
"CLE",0,2,0,9,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,2,0,0
"CIN",0,14,0,0,0,0,5,0,10,0,0,1,0,9,0,0,0,0,26,0,0,4.5,0,0,0,0,0,0,0,17,10,0
"CAR",0,13.5,0,0,0,0,0,6,0,0,0,4,0,0,17,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6.5,0,0
"LAC",9,0,3,0,0,31,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,5,0,3,0,0,19,0
"OAK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
"GB",0,6,0,0,31,7,0,30.5,0,0,3,17,0,0,0,0,0,0,0,0,17,0,0,21,0,0,0,0,0,0,0,5
"SF",0,0,5,0,8,0,0,0,0,5,0,0,10,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,3,0,0
"IND",0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,21,20.5,16,0,3,27,0,0,0,0,0,0,0,23,0
"NO",0,0,0,3,0,0,0,16,0,0,0,5,0,0,0,0,0,0,0,0,11,0,0,0,0,0,21,0,0,0,0,0
"JAX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,18,0,0,0,0,0,0,0,0,0,0
"NE",0,0,0,0,0,1.5,0,27,0,0,7,0,0,21,25,0,3.5,0,0,0,22,0,25,0,10,7,0,0,22,0,0,0
