"","DEN","ATL","TEN","PHI","NYJ","NO","KC","BAL","HOU","JAX","SEA","DAL","IND","ARI","WAS","SF","BUF","CAR","PIT","NYG","NE","DET","CLE","LA","LAC","OAK","MIN","CHI","MIA","GB","CIN","TB"
"DEN",0,0,0,0,0,0,0,0,18,9,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,12,20
"ATL",7,0,0,0,0,9,2,0,0,0,0,0,0,19,0,28,0,16,0,0,0,0,0,26,0,7,0,0,0,1,0,4
"TEN",3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,6,14,22,0,0
"PHI",0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,31,0,0,0,19,0,0,0,11,16,0,0,0,0
"NYJ",0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,6,13.5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"NO",0,0,0,0,0,0,0,0,0,0,6,0,0,7,0,18,0,0,0,0,0,0,0,28,1,0,0,0,0,0,0,1
"KC",13,0,0,0,19,5,0,0,0,5,0,0,16,0,0,0,0,1,0,0,0,0,0,0,8,11.5,0,0,0,0,0,0
"BAL",0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0.5,0,0,0,12,0,0,0,0,0,32,0,0,0
"HOU",0,0,0,0,0,0,7,0,0,4.5,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,9,0,0,2,0
"JAX",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"SEA",0,2,0,11,10,0,0,0,0,0,0,0,0,0,0,10.5,6,33,0,0,7,0,0,7.5,0,0,0,0,2,0,0,0
"DAL",0,0,0,0,0,0,0,10,0,0,0,0,0,0,4.5,7,0,0,5,0,0,21,25,0,0,0,2,14,0,14,14,6
"IND",0,0,7,0,31,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,28,6,0,5,0,0
"ARI",0,0,0,0,25,0,0,0,0,0,3,0,0,0,8,7.5,0,0,0,0,0,0,0,16.5,0,0,0,0,0,0,0,33
"WAS",0,0,0,6.5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,6,20,0,18,0,0
"SF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,0,0,0,0,0,0,0,0
"BUF",0,0,0,0,0,0,0,0,0,7,0,0,0,14,0,29,0,0,0,0,0,0,20,10,0,0,0,0,0,0,4,0
"CAR",0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,18,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0
"PIT",0,0,0,0,18,0,29,0,0,0,0,0,21,0,22,0,7,0,0,10,0,0,8.5,0,0,0,0,0,0,0,6,0
"NYG",0,0,0,0.5,0,2,0,4,0,0,0,2,0,0,3.5,0,0,0,0,0,0,11,14,6,0,0,0,6,0,0,1,0
"NE",13,0,0,0,21.5,0,0,7,27,0,0,0,0,2,0,13,0,0,11,0,0,0,20,16,0,0,0,0,14,0,18,0
"DET",0,0,0,1,0,15,0,0,0,6,0,0,4,0,3,0,0,0,0,0,0,0,0,3,0,0,4.5,0,0,0,0,0
"CLE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"LA",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"LAC",0.5,4,6,0,0,0,0,0,8,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OAK",0,0,7,0,0,1,0,1,7,17,0,0,8,0,0,0,14,2,0,0,0,0,0,0,3,0,0,0,0,0,0,6
"MIN",0,0,8,0,0,0,0,0,17,9,0,0,0,5,0,0,0,12,0,14,0,0,0,0,0,0,0,8.5,0,0,0,0
"CHI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0
"MIA",0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,7,3,0,15,0,0,0,7,4,6,0,0,0,0,0,0,0
"GB",0,0,0,14,0,0,0,0,8,4,28,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,5,10,0,0,0,0
"CIN",0,0,0,18,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5,0,0,0,0,0,15,0,0,0
"TB",0,0,0,0,0,0,2,0,0,0,9,0,0,0,0,17,0,3,0,0,0,0,0,0,6,0,0,25,0,0,0,0
