"","PHI","BAL","NYG","NO","NE","MIN","MIA","IND","CLE","LAC","DEN","CAR","ARI","GB","DET","OAK","CIN","ATL","WAS","TEN","TB","PIT","NYJ","BUF","SF","LA","JAX","DAL","CHI","HOU","KC","SEA"
"PHI",0,0,12,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,19.5,0,0,0,0,0,0,7,6,0,0,2,0,0
"BAL",0,0,0,0,0,0,0,0,0,12,13,0,0,0,0,15,0,10,0,21,8,2.5,0,44,0,0,0,0,0,0,0,0
"NYG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,4,0,0,0,2,5,0,0
"NO",41,1,15,0,0,9,0,0,3,0,0,0,0,0,0,0,37,10,24,0,3.5,3,0,0,0,10,0,0,0,0,0,0
"NE",0,0,0,0,0,14,15,14,0,0,0,0,0,14,0,0,0,0,0,0,0,0,24,15,0,0,0,0,6,7,3,0
"MIN",1,0,0,0,0,0,25,0,0,0,0,0,11,4,16,0,0,0,0,0,0,0,20,0,7,0,0,0,0,0,0,0
"MIA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,7,0,0,7,0,0,0,0,0,3,0,0,0
"IND",0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,14,0,0,12,22.5,0,0,0,32,0,0,0,23,0,0.5,0,0
"CLE",0,0.5,0,0,0,0,0,0,0,0,1,6,0,0,0,0,11.5,12,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"LAC",0,0,0,0,0,0,0,0,24,0,5,0,35,0,0,15,5,0,0,1,0,1,0,11,3,0,0,0,0,0,0,8
"DEN",0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,14,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3
"CAR",4,15,1,7,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,3.5,0,0,0,0,0,0,8,0,0,0,0
"ARI",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
"GB",0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,6,22,3,0,0,0,0,0,0,0
"DET",0,0,0,0,16,0,11,0,0,0,0,1,13,19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OAK",0,0,0,0,0,0,0,0,2,0,5.5,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"CIN",0,4,0,0,0,0,9,10,0,0,0,0,0,0,0,14,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"ATL",0,0,3,0,0,0,0,0,0,0,0,10.5,25,0,0,0,0,0,24,0,3.5,0,0,0,0,0,0,0,0,0,0,0
"WAS",0,0,0,0,0,0,0,0,0,0,0,6,18,14,0,0,0,0,0,0,13,0,0,0,0,0,4,0,0,0,0,0
"TEN",3,0,17,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,5,0,0,0,14,14,0,0,0,0
"TB",6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0
"PIT",0,0,0,0,7,0,0,0,7.5,0,0,30,0,0,0,0,5.5,23,0,0,2,0,0,0,0,0,4,0,0,0,0,0
"NYJ",0,0,0,0,0,0,0,7,0,0,18,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BUF",0,0,0,0,0,21,11,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,13.5,0,0,0,3,0,0,0,0,0
"SF",0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LA",0,0,0,0,0,7,0,0,0,11,3,0,28,2,14,19,0,0,0,0,0,0,0,0,22,0,0,0,0,0,2,3.5
"JAX",0,0,4,0,11,0,9,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0
"DAL",6.5,0,4,3,0,0,0,0,0,0,0,0,0,0,2,0,0,3,3,0,6,0,0,0,0,0,33,0,0,0,0,0
"CHI",0,0,0,0,0,8.5,0,0,0,0,0,0,2,2.5,9,0,0,0,0,0,38,0,14,30,5,9,0,0,0,0,0,6
"HOU",0,0,0,0,0,0,19,0,15,0,2,0,0,0,0,0,0,0,1,7,0,0,7,6,0,0,15,3,0,0,0,0
"KC",0,3,0,0,0,0,0,0,16,4,5.5,0,12,0,0,19,34,0,0,0,0,5,0,0,11,0,15,0,0,0,0,0
"SEA",0,0,0,0,0,13,0,0,0,0,0,3,4,3,14,24,0,0,0,0,0,0,0,0,12,0,0,11,0,0,7,0
