"","PIT","CLE","NO","TB","HOU","IND","CIN","CAR","BAL","ATL","ARI","SEA","NYG","GB","NE","OAK","DET","WAS","TEN","PHI","NYJ","KC","JAX","SF","BUF","LAC","DEN","CHI","DAL","MIA","MIN","LA"
"PIT",0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,3,0,0,0,0,0,0,11,18,0,0,6,8,0
"CLE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,8,6,0,3,0,0,0,0,0,0,0
"NO",0,0,0,14.5,0,0,0,0,0,5.5,0,0,20,0,20,0,19,2,0,20,12,0,0,0,20,0,0,0,0,11,0,5
"TB",0,0,0,0,0,0,0,0,0,0,0,17,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOU",0,0,0,0,0,0,11,0,0,0,0,20,0,0,8,20,0,0,0,0,0,0,0,3,20,0,0,0,0,7,0,3
"IND",0,0,0,0,5,0,0,0,2,0,20,17,0,0,1,0,0,0,16,0,0,0,3,4,0,0,12,0,0,4,0,20
"CIN",4.5,5.5,0,0,0,0,0,0,7,0,0,0,0,8,0,0,9,0,0,0,0,7,0,0,0,0,0,20,0,0,0,0
"CAR",0,0,2,9,0,0,0,0,0,0.5,12,0,20,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,19,0
"BAL",0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,8,20,0,0,0,0,15,0,0,0,5,20,20,0,0,0,0
"ATL",0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,3,0,0,20,20,0,0,7,0,12,0,0
"ARI",0,0,0,0,6,0,0,0,0,0,0,17.5,7,0,0,0,8,0,0,0,0,0,13,0,0,0,0,20,0,0,13,14.5
"SEA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,20,0,0,0,0,0,0,0,0,18.5
"NYG",0,0,0,20,0,0,0,0,0,3,0,0,0,0,0,20,0,18.5,0,0,0,11,0,0,0,0,0,0,3.5,0,0,0
"GB",0,20,0,0,0,0,0,0,13,0,20,20,0,0,0,0,20,0,0,0,0,0,0,6,0,0,0,6.5,10,0,0,19
"NE",0,0,0,20,0,0,0,10,7,16,0,0,0,0,0,0,0,0,20,0,5,0,20,0,4.5,0,0,0,0,4.5,0,0
"OAK",3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"DET",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WAS",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2
"TEN",0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,6,20,0,0,0,0,3,0,20
"PHI",0,0,0,19,0,0,0,20,0,20,0,0,14,0,0,0,0,6,0,0,0,20,0,14,0,0,3,4,0,0,0,0
"NYJ",0,0,0,20,18,12,20,10,0,0,0,0,0,0,0,20,0,0,7,0,0,0,0,0,1.5,0,0,0,0,0,0,0
"KC",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JAX",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,2,3,0,0,3,0,0,0,0,0,0,4
"SF",0,0,0,0,0,0,0,0,0,0,9.5,5,0,0,0,0,14,0,0,0,0,0,17,0,0,0,0,4,0,0,0,20
"BUF",0,0,0,12,0,20,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"LAC",0,7,0,0,0,0,3,0,0,0,0,0,1,0,0,6,0,3,20,8,0,20,0,0,0,0,9,0,3,9,0,0
"DEN",0,20,0,0,0,0,5,0,0,0,0,0,20,0,3,9.5,0,0,0,0,0,6,0,0,0,0,0,0,7,0,0,0
"CHI",3,20,0,0,0,0,0,0,0,0,0,6,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"DAL",0,0,7,13,0,0,0,12,0,15,0,20,0,0,0,17,0,9,0,14,0,6,0,0,0,0,0,0,0,0,0,0
"MIA",0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,5,0,0,0,0,0,0,0
"MIN",0,15,0,0,0,0,20,0,2,0,0,20,20,10,0,0,15.5,0,0,0,0,0,0,4,0,0,0,10,0,0,0,20
"LA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
