"","NO","TB","PIT","CHI","NYG","TEN","JAX","BUF","NE","HOU","PHI","LA","SEA","WAS","NYJ","KC","GB","CIN","CAR","ATL","DET","DAL","MIN","CLE","OAK","DEN","LAC","IND","SF","BAL","ARI","MIA"
"NO",0,7.5,10,0,0,0,0,0,0,0,0,17,15,0,0,0,0,4,16,0.5,0,3,5,0,0,0,0,0,3,0,0,0
"TB",0,0,0,0,0,0,0,0,0,0,0,1,20,1,0,0,0,2,14,0,0,0,0,3,0,0,0,0,20,0,2,0
"PIT",0,20,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,10,20,6,0,0,0,20,20,0,0,0,0,0,0,1
"CHI",0,0,0,0,0,0,0,3,0,0,5,0,0,0,5,0,0,0,17,0,4.5,8,19,0,0,0,0,0,0,0,0,16
"NYG",0,0,0,14,0,0,4,0,0,20,0,0,20,13.5,0,0,0,0,13,0,8,0,18,0,0,0,0,0,0,0,0,0
"TEN",0,0,0,0,20,0,8,0,0,0,17,0,0,0,0,0,0,0,0,0,0,7,0,0,20,0,0,0,0,0,0,0
"JAX",0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,5,7,7,0,0,0,0,0,0
"BUF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,2,0,0,7,0,0,0,0,0,0,0,0
"NE",0,0,13,20,0,0,0,19.5,0,0,0,0,0,0,14,0,3,13,0,0,20,0,10,0,0,0,3,3,0,3,0,20
"HOU",0,0,0,0,0,3,5,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
"PHI",0,0,0,0,8,0,20,0,0,10,0,0,0,12.5,0,0,0,0,0,14,3,3,0,0,0,0,0,2,4,0,0,0
"LA",0,0,0,0,0,0,0,0,0,0,0,0,3.5,14,0,0,0,0,10,0,0,0,0,0,0,3,3,0,3,0,3.5,0
"SEA",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,7,0,3,0,15,0
"WAS",0,0,0,3,0,4,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"NYJ",0,0,5,0,0,0,0,20,0,3,0,0,0,0,0,0,0,16,0,0,3,0,8,6,0,4,0,0,0,0,0,2
"KC",0,0,0,0,0,19,20,3,0,0,0,14,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20,0,18,0
"GB",0,0,0,3.5,20,0,0,20,0,0,7,0,0,0,9,0,0,0,0,0,0,20,15.5,0,0,0,0,0,18,0,0,0
"CIN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,14,0,0,0,0,0
"CAR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0
"ATL",0,5,0,0,0,0,0,0,0,0,0,17,15,0,0,0,3,7,20,0,0,0,0,9,0,0,0,0,3,5,20,0
"DET",0,3,0,0,0,0,0,0,0,0,0,20,0,12,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"DAL",0,0,0,0,2.5,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,2,0,0,1,0
"MIN",0,0,0,0,0,0,0,20,0,0,9,0,0,4,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,4,0
"CLE",11,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,3
"OAK",0,0,0,0,0,0,0,0,0,0,0,4,20,0,0,11.5,0,0,0,0,0,0,0,0,0,20,10.5,0,0,0,0,0
"DEN",0,0,0,0,0,6,0,0,0,1,0,0,17,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAC",0,0,0,0,0,8,20,0,0,6,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,13,0,20,20,0,20,0
"IND",0,0,0,0,20,2.5,4,0,0,1,0,0,0,3,0,10,0,5,0,0,0,0,0,0,5,14,0,0,0,0,0,0
"SF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,20,0
"BAL",6,7,0,0,0,0,0,3,0,6,0,0,0,0,1,0,0,0.5,20,0,0,0,0,8.5,0,14,0,0,0,0,0,16
"ARI",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,0
"MIA",0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,3,8,0,0,0,0,3,0,16,0,0,0,0,0,0,0
