"","NE","CHI","HOU","NYJ","BUF","WAS","JAX","LA","ARI","LAC","TB","OAK","DEN","DAL","ATL","SF","KC","CAR","PIT","NO","MIN","CIN","CLE","NYG","PHI","GB","IND","TEN","BAL","MIA","SEA","DET"
"NE",0,0,20,0,7.5,17,20,0,0,0,0,0,0,20,0,0,0,0,7,0,0,0,0,1,0,0,8,16,0,9.5,0,0
"CHI",0,0,0,0,0,0,0,20,0,3,5,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOU",0,0,0,7,0,0,16.5,0,0,0,10,0,0,0,0,0,0,0,0,18,0,4,0,0,0,0,0,20,0,0,0,0
"NYJ",0,0,0,0,0,15,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,20,4,0,0,13,20,0,15.5,0,0
"BUF",0,0,9,5,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,20,0,0
"WAS",0,3,0,0,10,0,0,14,0,0,2,0,0,4,0,0,0,0,0,20,0,0,0,0,8,0,0,0,0,0,0,0
"JAX",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,2,3,0,0
"LA",0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,9,0,0,0,0,0,0,17,0,0,0,0,0,0,0,4.5,6
"ARI",0,20,0,0,0,0,0,11,0,0,0,0,0,0,0,20,0,0,0,12,3,3,14,0,20,20,0,0,8,0,0,20
"LAC",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,16,0,6
"TB",0,0,0,0,0,0,5,0,0,0,0,0,0,4,3.5,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
"OAK",0,0,0,14,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,4,0,0,0
"DEN",6,2,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,3,3,2,0,0,19,0,0,6,0,0,12
"DAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,0,0
"ATL",0,0,20,0,0,6,6,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,4,2,0,0,3,0,0,0,0
"SF",0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,0,0,0,0,0,0,0,5,0,0,0
"KC",0,0,7,0,8,0,0,0,0,18,0,9.5,4.5,0,0,0,0,0,10,0,0,0,4,0,0,0,0,0,18,0,0,20
"CAR",0,0,7,0,0,20,10,0,0,0,20,0,0,17,15.5,0,0,1,0,5.5,0,0,0,3,11,8,3,17,0,0,4,0
"PIT",0,0,0,0,0,0,0,6,12,3,0,3,7,0,0,20,0,0,0,0,0,3,18.5,0,0,0,20,0,0,0,0,0
"NO",0,0,0,0,0,0,11,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0
"MIN",0,11.5,0,0,0,0,0,3,0,16,0,16,0,0,10,0,6,0,0,0,0,0,0,20,0,0,0,0,0,0,0,9.5
"CIN",0,0,0,0,13,0,0,20,0,5,0,20,0,0,0,10,15,0,0,0,0,0,20,0,0,0,0,0,6.5,0,4,0
"CLE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
"NYG",0,0,0,0,14,2.5,0,0,0,0,14,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
"PHI",4,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,11.5,0,0,0,0,0,0,0,0
"GB",0,2,0,0,0,0,0,13,0,7,0,9,0,20,0,14,10,0,0,0,5.5,0,0,0,0,0,0,0,0,0,10,1
"IND",0,0,0.5,0,0,0,0,0,0,0,13,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0
"TEN",0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"BAL",0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,1.5,0,0,0,0,0,0,0,0,0
"MIA",0,0,17,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,0,0,0,0
"SEA",0,20,0,0,0,0,0,0,11.5,0,0,0,0,1,0,16.5,0,0,9,0,20,0,17,0,0,0,0,0,20,0,0,4
"DET",0,3.5,0,0,0,0,0,0,0,0,0,5,0,0,0,15,0,0,0,8,0,0,0,0,20,0,0,0,0,0,0,0
