"","NE","BUF","WAS","TEN","HOU","DET","CLE","CHI","CIN","LA","SF","GB","DAL","MIN","DEN","BAL","TB","PIT","NO","KC","JAX","IND","CAR","OAK","LAC","SEA","ATL","NYG","PHI","NYJ","ARI","MIA"
"NE",0,20,0,0,4,0,0,0,0,0,0,0,0,0,20,0,5,3,16,0,0,0,0,20,4,0,16,0,0,13.5,0,6
"BUF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,0,0,6,0,6,0,19,0,0,5,0,0,0,0,7
"WAS",0,0,0,0,0,0,0,0,0,7,2,0,0,0,16,0,0,0,0,0,0,0,0,17,0,3,0,1.5,0,0,5,0
"TEN",0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,0,0,0,0,13.5,9,0,0,0,6,0,0,0,0,0,0
"HOU",0,0,0,15.5,0,0,17,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
"DET",0,0,0,0,0,0,13,6,0,0,0,18.5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,13,0,0,12,0
"CLE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHI",0,0,0,0,0,0,17,0,20,0,0,0,0,0,0,4,0,6,0,0,0,0,12,0,0,0,0,0,0,0,0,0
"CIN",0,4,0,0,0,9,19,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LA",0,0,0,5,20,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,9,20,0,0,0,14.5,0,20,0,0,20,0
"SF",0,0,0,2,10,0,0,2,0,9.5,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,10,0,0,0,0
"GB",0,0,0,0,0,0,6,14,4,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
"DAL",0,0,18,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,11,0,0,0,3,0,0,0,18,0,0,11,0
"MIN",0,0,8,0,0,0,17,8.5,20,17,0,14.5,0,0,0,8,17,0,10,0,0,0,0,0,0,0,5,0,0,0,0,0
"DEN",0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,20,0,0
"BAL",0,0,0,0,7,20,15,0,8.5,0,0,20,0,0,0,0,0,0,0,0,0,7,0,12,0,0,0,0,0,0,0,20
"TB",0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,9
"PIT",0,0,0,20,20,5,3,0,9,0,0,3,0,17,0,9,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0
"NO",0,20,3,0,0,13,0,8,0,0,0,9,0,0,0,0,7,0,0,0,0,0,15.5,0,0,0,3.5,0,0,12,0,20
"KC",15,0,9,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,15.5,0,0,0,7,0,0,16
"JAX",0,0,0,0,20,0,12,0,15,0,0,0,0,0,0,20,0,20,0,0,0,20,0,0,3,6,0,0,0,0,0,0
"IND",0,0,0,0,8,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAR",3,6,0,0,0,3,0,0,0,0,20,7,0,7,0,0,8.5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,20
"OAK",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,20,0,3
"LAC",0,20,18,0,0,0,9,0,0,0,0,0,20,0,8.5,0,0,0,0,0,0,0,0,10.5,0,0,0,5,0,7,0,0
"SEA",0,0,0,0,2,0,0,0,0,0,7,0,8,0,0,0,0,0,0,0,0,20,0,0,0,0,0,17,14,0,2,0
"ATL",0,0,0,0,0,5,0,6,0,0,0,10,20,0,0,0,8.5,0,0,0,0,0,4.5,0,0,2,0,0,0,5,0,0
"NYG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"PHI",0,0,11,0,0,0,0,20,0,9,20,0,10,0,20,0,0,0,0,0,0,0,5,9,2,0,0,4,0,0,20,0
"NYJ",0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,5.5
"ARI",0,0,0,5,0,0,0,0,0,0,6.5,0,0,0,0,0,7,0,0,0,4,3,0,0,0,0,0,20,0,0,0,0
"MIA",0,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0
