"","NO","TB","PIT","CHI","NYG","TEN","JAX","BUF","NE","HOU","PHI","LA","SEA","WAS","NYJ","KC","GB","CIN","CAR","ATL","DET","DAL","MIN","CLE","OAK","DEN","LAC","IND","SF","BAL","ARI","MIA"
"NO",0,7.5,7.5,0,0,0,0,0,0,0,0,14.5,12.5,0,0,0,0,6.5,16,0.5,0,5.5,2.5,0,0,0,0,0,5.5,0,0,0
"TB",0,0,0,0,0,0,0,0,0,0,0,0,20,3.5,0,0,0,4.5,14,0,0,0,0,0.5,0,0,0,0,20,0,4.5,0
"PIT",0,20,0,0,0,10.5,0,5.5,0,0,0,0,0,0,0,0,0,10,20,3.5,0,0,0,20,20,0,0,0,0,0,0,3.5
"CHI",0,0,0,0,0,0,0,5.5,0,0,2.5,0,0,0,2.5,0,0,0,19.5,0,4.5,10.5,19,0,0,0,0,0,0,0,0,18.5
"NYG",0,0,0,11.5,0,0,1.5,0,0,20,0,0,20,13.5,0,0,0,0,10.5,0,5.5,0,20,0,0,0,0,0,0,0,0,0
"TEN",0,0,0,0,20,0,8,0,0,0,14.5,0,0,0,0,0,0,0,0,0,0,9.5,0,0,20,0,0,0,0,0,0,0
"JAX",0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,2.5,4.5,4.5,0,0,0,0,0,0
"BUF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0
"NE",0,0,15.5,20,0,0,0,19.5,0,0,0,0,0,0,14,0,0.5,10.5,0,0,20,0,7.5,0,0,0,5.5,0.5,0,0.5,0,20
"HOU",0,0,0,0,0,3,5,0,0,0,0,0,0,5.5,0,1.5,0,0,0,0,0,0,0,0,9.5,1.5,0,0,0,0,0,0
"PHI",0,0,0,0,8,0,20,0,0,7.5,0,0,0,12.5,0,0,0,0,0,11.5,5.5,1.5,0,0,0,0,0,0,6.5,0,0,0
"LA",0,1.5,0,0,0,0,0,0,0,0,0,0,3.5,11.5,0,0,0,0,7.5,0,0,0,0,0,0,5.5,0.5,0,3,0,3.5,0
"SEA",0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5,0,0,0,0,0,0,0,4.5,0,3,0,15,0
"WAS",0,0,0,5.5,0,6.5,5.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"NYJ",0,0,7.5,0,0,0,0,20,0,0.5,0,0,0,0,0,0,0,13.5,0,0,5.5,0,5.5,8.5,0,6.5,0,0,0,0,0,2
"KC",0,0,0,0,0,16.5,18.5,0.5,0,0,0,16.5,20,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,18.5,0,15.5,0
"GB",0,0,0,3.5,20,0,0,20,0,0,9.5,0,0,0,11.5,0,0,0,0,0,0,20,15.5,0,0,0,0,0,15.5,0,0,0
"CIN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5,0,0,0,0,0,0,0,11.5,0,0,0,0,0
"CAR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1.5,0,4.5,0
"ATL",0,5,0,0,0,0,0,0,0,0,0,19.5,17.5,0,0,0,0.5,4.5,20,0,0,0,0,11.5,0,0,0,0,0.5,2.5,20,0
"DET",0,5.5,0,0,0,0,0,0.5,0,0,0,20,0,9.5,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5
"DAL",0,0,0,0,2.5,0,0,0,0,16.5,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,4.5,0,0,3.5,0
"MIN",0,0,0,0,0,0,0,20,0,0,11.5,0,0,6.5,0,0,0,0,0,0,3,0.5,0,0,0,0,0,0,0,0,1.5,0
"CLE",13.5,0,0,0,0,0,0,0,17.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5
"OAK",0,0,0,0,0,0,0,0,0,0,0,1.5,20,0,0,11.5,0,0,0,0,0,0,0,0,0,20,10.5,0,0,0,1.5,0
"DEN",0,0,0,0,0,8.5,0,0,0,0,0,0,14.5,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAC",0,0,0,0,0,5.5,20,0,0,8.5,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,13,0,20,20,0,20,0
"IND",0,0,0,0,20,2.5,4,0,0,1,0.5,0,0,5.5,0,7.5,0,2.5,0,0,0,0,0,0,7.5,16.5,0,0,0,0,0,0
"SF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,5.5,0,0,0,0,20,0
"BAL",3.5,4.5,0,0,0,0,0,0.5,0,8.5,0,0,0,0,3.5,0,0,0.5,20,0,0,0,0,8.5,0,11.5,0,0,0,0,0,13.5
"ARI",5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
"MIA",0,0,0,0,0,9.5,0,1,0,0,0,0,0,0,0,0,5.5,10.5,0,0,0,0,5.5,0,18.5,0,0,0,0,0,0,0
