"","PIT","CLE","NO","TB","HOU","IND","CIN","CAR","BAL","ATL","ARI","SEA","NYG","GB","NE","OAK","DET","WAS","TEN","PHI","NYJ","KC","JAX","SF","BUF","LAC","DEN","CHI","DAL","MIA","MIN","LA"
"PIT",0,153.5,0,0,0,0,53,0,0,0,0,0,0,84.5,0,0,23.5,0,22.5,0,0,247.5,0,0,0,231.5,147.5,47.5,0,114.5,0,0
"CLE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NO",0,0,0,42.5,0,0,0,0,0,0,0,0,153.5,0,99.5,0,269.5,22.5,0,0,84.5,0,0,0,149.5,0,0,0,0,94.5,0,0.5
"TB",0,0,0,0,0,0,0,41.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOU",0,0,0,0,0,29,190.5,0,0,0,90.5,153.5,0,0,107.5,149.5,0,0,0,0,0,0,0,24.5,251.5,0,0,0,0,57.5,0,196.5
"IND",0,0,0,0,0,0,0,0,35.5,0,196.5,137.5,0,0,0,0,0,0,52.5,0,0,0,80.5,100.5,0,0,0,0,0,0,0,133.5
"CIN",0,58.5,0,0,0,0,0,0,150,0,0,0,0,22.5,0,87.5,61.5,0,0,0,0,0,0,0,0,57.5,0,154.5,0,0,0,0
"CAR",0,0,35.5,0,0,0,0,0,0,24.5,49.5,0,113.5,0,0,0,0,37.5,0,0,0,0,0,0,243.5,0,0,0,0,44.5,145.5,0
"BAL",66,203.5,0,0,0,0,0,0,0,0,0,0,0,0,58.5,19.5,304.5,0,0,0,0,298.5,0,0,0,0,77.5,111.5,0,0,36.5,0
"ATL",0,0,3,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212.5,198.5,0,0,0,0,7.5,0,0
"ARI",0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,72.5,0,0,0,0,0,25.5,7,0,0,0,35.5,0,0,68.5,149.5
"SEA",0,0,0,24.5,0,0,0,0,0,0,0,0,0,0,0,0,82.5,0,0,0,0,0,165.5,0,0,0,0,11.5,0,0,0,50
"NYG",0,0,0,325.5,0,0,0,0,0,89.5,24.5,0,0,0,0,344.5,0,82,0,50.5,0,250.5,0,0,0,63.5,0,0,0,0,0,0
"GB",0,335.5,0,137.5,0,0,0,0,150.5,0,172.5,111.5,0,0,0,0,218,0,0,0,0,0,0,185.5,0,0,0,0,0,0,43,80.5
"NE",0,0,0,188.5,0,84.5,0,57.5,0,173.5,0,0,0,0,0,0,0,0,418.5,0,114.5,0,174.5,0,74,0,0,0,0,66,0,0
"OAK",9.5,121.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.5,0,0,0,0,0,0,0,0,0,0,0,0
"DET",0,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.5,0,0,0,0
"WAS",0,0,0,33.5,0,0,0,0,0,20.5,0,0,0,0,0,82.5,23.5,0,0,0,0,0,0,0,0,0,68.5,0,0,0,0,102.5
"TEN",0,0,0,0,16.5,0,0,0,0,0,225.5,9.5,0,0,0,0,0,0,0,0,71.5,0,19.5,0,67.5,0,0,0,0,0,0,191.5
"PHI",0,0,27.5,7.5,0,0,0,112.5,0,99.5,0,0,0,0,0,0,0,17,0,0,0,209.5,0,146.5,0,145.5,138.5,105.5,0,0,0,0
"NYJ",0,0,0,200.5,293.5,23.5,233.5,89.5,0,61.5,0,0,0,0,0,198.5,0,0,0,0,0,0,0,0,127.5,0,0,0,0,85,0,0
"KC",0,59.5,0,0,0,0,35.5,0,0,0,0,0,0,0,0,144.5,0,18.5,0,0,0,0,0,0,66.5,0,0,0,0,0,0,0
"JAX",0,42.5,0,0,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.5,108.5,0,87.5,0,0,0,0,0,0,0,215.5
"SF",0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,6.5,0,28.5,0,0,0,0,0,0,0,0,0,0,0,0,135.5
"BUF",0,80.5,0,70.5,0,231.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.5,0,0,0,0,0,0,0,0,0
"LAC",0,119.5,0,0,0,0,0,0,148.5,0,0,0,0,0,0,58.5,0,10.5,169.5,0,0,171,0,0,0,0,30,0,8.5,51.5,0,0
"DEN",0,234.5,0,0,0,59.5,9.5,0,0,0,0,0,91.5,0,104.5,114.5,0,0,0,0,0,89.5,0,0,0,0,0,0,7.5,0,0,0
"CHI",0,163.5,0,0,0,0,0,0,0,134.5,0,0,0,30.5,0,0,0,0,0,0,0,0,0,148.5,0,0,0,0,0,0,0,0.5
"DAL",0,0,117.5,26.5,0,0,0,163.5,0,101.5,0,39.5,19,9.5,0,174.5,0,78,0,153.5,0,208.5,0,0,0,0,0,0,0,0,0,0
"MIA",0,0,0,57.5,0,32.5,0,0,0,0,0,0,0,0,0,0,0,0,120.5,0,0,0,151.5,0,59.5,0,0,0,0,0,0,0
"MIN",141.5,56.5,0,0,0,0,97.5,0,0,0,0,204.5,291.5,0,0,0,97.5,0,0,0,0,0,0,116.5,0,0,0,214,0,0,0,0
"LA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.5,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,0
