"","NO","TB","PIT","CHI","NYG","TEN","JAX","BUF","NE","HOU","PHI","LA","SEA","WAS","NYJ","KC","GB","CIN","CAR","ATL","DET","DAL","MIN","CLE","OAK","DEN","LAC","IND","SF","BAL","ARI","MIA"
"NO",0,93,24.5,0,0,0,0,0,0,0,0,3.5,55.5,0,0,0,0,137.5,172.5,67,0,0,40.5,169.5,0,0,0,0,0,0,192.5,0
"TB",0,0,0,0,0,0,0,0,0,0,0,13.5,248.5,0,0,0,0,30.5,58,0,0,0,0,0,0,0,0,0,124.5,0,25.5,0
"PIT",0,98.5,0,0,0,0,0,111.5,0,0,0,0,0,0,87.5,0,0,103,274.5,44.5,0,0,0,121.5,234.5,0,0,0,0,0,0,49.5
"CHI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.5,0,153.5,0,70,0,0,0,0,0,0,0,0,98.5
"NYG",0,0,0,247.5,0,185.5,20.5,0,0,233.5,0,0,339.5,0,0,0,0,0,124.5,0,0,147,245.5,0,0,0,0,0,0,0,0,0
"TEN",0,0,98.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.5,0,0,0,0,0,0,0
"JAX",0,0,0,0,0,41,0,89.5,0,0,0,0,0,70.5,0,0,0,0,0,0,0,0,0,83.5,0,0,0,0,0,0,0,0
"BUF",0,0,0,40.5,0,0,0,0,0,0,0,0,0,0,0,0,0,102.5,0,0,0,0,0,121.5,0,0,0,0,0,156.5,0,0
"NE",0,0,38.5,304.5,0,0,0,25,0,0,0,0,0,0,47.5,0,0,0,0,0,55.5,0,0,0,0,0,0,0,0,2.5,0,58.5
"HOU",0,0,0,0,0,74,39.5,0,0,0,29.5,0,0,119.5,0,0,0,0,0,0,0,0,0,0,92.5,0,7.5,0,0,223.5,0,0
"PHI",0,0,0,63.5,120,12.5,203.5,0,0,0,0,0,0,138.5,0,0,7.5,0,0,166.5,0,26,0,0,0,0,0,49.5,2.5,0,0,0
"LA",0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,30.5,0,4.5,0,0,0,0,0,0,0,0,0,5.5,0
"SEA",0,0,0,60.5,0,0,0,0,0,0,0,28.5,0,0,0,0,0,0,73.5,0,0,0,0,0,0,0,0,0,2,0,118,0
"WAS",0,17.5,0,0.5,20,106.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NYJ",0,0,0,85.5,0,0,0,223.5,0,43.5,0,0,0,0,0,0,108.5,141.5,0,0,145.5,0,0,167.5,0,0,0,0,0,0,0,57.5
"KC",0,0,0,0,0,173.5,111.5,71.5,0,10.5,0,173.5,229.5,0,0,0,0,0,0,0,0,0,0,27.5,0,72,0,0,191.5,0,0,0
"GB",0,0,0,80,114.5,0,0,145.5,134.5,0,0,0,0,68.5,0,0,0,0,0,138.5,0,195.5,25.5,0,0,0,0,0,126.5,0,0,0
"CIN",0,0,0,0,0,0,0,0,66.5,0,0,0,0,0,0,0,0,0,52.5,29.5,0,0,0,118.5,0,0,43.5,99.5,0,95,0,0
"CAR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.5,0,70.5,0
"ATL",0,26,0,0,0,0,0,0,0,0,0,103.5,44.5,0,0,0,0,0,50,0,0,0,0,83.5,0,0,0,0,80.5,27.5,162.5,0
"DET",0,44.5,0,0,46.5,0,0,114.5,0,0,22.5,0,0,16.5,0,0,99,0,0,0,0,87.5,38.5,0,0,0,0,0,0,0,0,0
"DAL",28.5,0,0,78.5,0,175.5,13.5,0,0,59.5,0,0,0,109.5,0,0,0,0,0,0,0,0,140.5,0,0,0,0,0,0,0,125.5,0
"MIN",0,0,0,0,0,0,0,133.5,64.5,0,20.5,0,0,97.5,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267.5,123.5
"CLE",0,66.5,0,0,0,0,0,0,106.5,0,0,0,0,0,0,0,0,0,38.5,0,0,0,0,0,0,0,0,0,0,0,0,0
"OAK",0,0,0,0,0,0,105.5,0,0,0,0,194.5,368.5,0,0,80,0,0,0,0,0,0,0,0,0,267.5,0,0,0,0,151.5,0
"DEN",0,0,0,0,0,53.5,78.5,0,0,15.5,0,3.5,15.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,139.5,73.5,0,0,0
"LAC",0,0,0,0,0,71.5,112.5,0,169.5,0,0,1.5,263.5,0,0,275.5,0,0,0,0,0,0,0,0,74.5,137.5,0,12.5,167.5,0,280.5,0
"IND",0,0,0,0,138.5,25.5,44.5,0,135.5,91.5,0,0,0,148.5,0,65.5,0,0,0,0,0,20.5,0,0,94.5,0,0,0,0,0,0,0
"SF",117.5,0,0,0,0,0,0,0,0,0,0,42.5,0,0,0,0,0,0,0,0,0,0,0,0,155.5,0,0,0,0,0,133,0
"BAL",72.5,71.5,45.5,0,0,0,0,0,0,0,0,0,0,0,120.5,0,0,0,122.5,0,0,0,0,19.5,0,54.5,0,0,0,0,0,98.5
"ARI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.5,0,0,0,0,0,0,0,0,0,54.5,0,0,0,0,0,0
"MIA",0,0,0,0,0,130.5,0,87,0,0,0,0,0,0,0,0,36.5,106.5,0,0,135.5,0,0,14.5,222.5,0,0,0,0,0,0,0
