"","NYG","CHI","KC","CLE","NO","DET","TEN","MIN","NYJ","HOU","ARI","GB","TB","DEN","BAL","OAK","MIA","JAX","CIN","BUF","PHI","CAR","NE","IND","LA","SEA","PIT","LAC","SF","ATL","DAL","WAS"
"NYG",0,0,0,112.5,0,0,0,0,0,0,0,58.5,284.5,0,0,0,0,0,57.5,0,12,92.5,0,0,0,0,0,0,42.5,0,0,34.5
"CHI",0,0,0,0,0,9,37.5,115,0,19.5,63.5,0,0,0,0,0,0,326.5,0,0,0,0,0,57.5,99.5,0,0,0,0,0,0,0
"KC",0,0,0,0,236.5,0,0,0,0,0,0,0,0,0,25.5,0,0,0,0,57.5,0,0,0,204.5,0,0,55.5,5,0,2.5,0,0
"CLE",0,0,27.5,0,0,0,0,0,0,0,0,0,0,0,0,60.5,0,0,0,0,0,0,0,12.5,0,0,52,0,0,0,5.5,0
"NO",107.5,0,0,0,0,0,0,0,0,0,0,67.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.5,130.5,0
"DET",0,0,0,0,0,0,162.5,38.5,0,0,130.5,73,0,0,0,0,0,167.5,0,0,106.5,0,0,0,163.5,31.5,0,0,0,163.5,0,0
"TEN",0,0,0,0,0,0,0,0,26.5,25,0,0,0,0,0,0,52.5,0,0,22.5,0,0,0,0,0,0,0,0,0,0,0,0
"MIN",0,0,0,0,0,0,151.5,0,0,172.5,0,0,0,0,0,0,0,10.5,0,0,0,0,0,63.5,0,0,0,0,49.5,0,0,76.5
"NYJ",0,0,0,0,0,0,0,0,0,0,137.5,0,0,0,0,0,67,0,0,0,0,0,0,38.5,22.5,0,0,0,0,0,0,0
"HOU",0,0,0,0,0,71.5,0,0,106.5,0,0,0,0,75.5,229.5,0,47.5,238,0,51.5,0,0,0,116,0,0,0,0,0,0,0,0
"ARI",0,0,0,0,0,0,0,161.5,0,0,0,0,0,0,0,0,0,0,0,11.5,0,0,0,0,24,0,0,0,0,0,0,0
"GB",0,177,0,0,0,0,265.5,18.5,0,120.5,29.5,0,0,0,0,0,0,0,0,0,0,0,0,0,62.5,44.5,0,0,0,0,0,0
"TB",0,0,188.5,0,0,0,0,61.5,0,0,0,0,0,0,0,103.5,0,0,0,0,0,15.5,0,0,129.5,0,0,0,0,0,0,0
"DEN",0,0,236.5,209.5,263.5,0,0,0,0,0,0,0,12.5,0,86.5,185,0,0,7.5,0,0,124.5,0,0,0,0,37.5,73,0,75.5,0,0
"BAL",332.5,0,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.5,0,0,0,92.5,0,0,0,0,177.5,0,0,0,0
"OAK",0,0,155.5,0,7.5,0,0,0,0,0,0,0,0,0,17.5,0,0,127.5,0,0,0,0,0,0,0,0,0,60,0,202.5,0,0
"MIA",0,0,0,0,0,0,0,0,0,0,199.5,0,0,0,0,41.5,0,77.5,0,0,0,0,0,0,0,108.5,0,0,0,0,0,0
"JAX",0,0,0,0,0,0,57.5,0,6.5,0,0,117.5,0,0,0,0,0,0,0,0,0,0,72.5,0,0,0,0,0,0,0,0,0
"CIN",0,0,139.5,23,0,0,0,0,0,0,0,0,0,0,0,182.5,4.5,184.5,0,0,42.5,0,0,0,0,0,0,56.5,0,0,33.5,111.5
"BUF",0,0,0,118.5,0,0,0,0,4,0,0,0,0,0,0,0,88.5,91.5,0,0,0,0,0,6.5,0,0,0,0,0,0,0,0
"PHI",0,0,0,260.5,90.5,0,0,0,0,0,30.5,0,67.5,0,146.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.5,0
"CAR",0,220.5,44.5,0,33,0,0,0,0,0,0,0,0,0,0,53.5,0,0,0,0,101.5,0,0,0,0,0,0,222.5,0,45.5,1.5,7.5
"NE",0,0,0,0,0,0,120.5,0,29.5,81.5,127.5,0,0,27.5,0,0,115.5,0,0,4,0,0,0,0,161.5,121.5,0,0,122.5,0,0,0
"IND",0,0,0,0,0,22.5,15.5,0,0,0,0,95.5,0,0,0,0,136.5,63,0,0,0,0,16.5,0,0,0,0,0,0,0,0,0
"LA",0,0,0,0,0,0,0,97.5,0,0,0,0,0,0,0,0,286.5,0,0,20.5,0,0,0,0,0,0,0,0,35.5,0,0,66.5
"SEA",0,115.5,0,0,0,0,0,83.5,163.5,0,170,0,0,0,0,0,0,0,0,147.5,0,135.5,0,0,32,0,0,0,0,0,4.5,0
"PIT",181.5,0,0,0,0,0,67.5,0,97.5,0,0,0,0,0,94.5,126.5,0,0,130.5,0,82.5,0,0,0,0,0,0,31.5,0,0,0,85.5
"LAC",0,0,0,29.5,37.5,0,189.5,0,12.5,0,0,0,161.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF",0,197.5,0,0,99.5,38.5,0,0,248.5,0,98.5,67.5,0,0,0,0,79.5,0,0,402.5,0,0,0,0,0,14.5,0,0,0,0,0,0
"ATL",123.5,0,0,0,0,0,0,0,0,0,161.5,0,5,0,0,0,0,0,0,0,136.5,0,0,0,0,0,0,93.5,0,0,61.5,119.5
"DAL",152.5,57.5,0,0,0,0,0,0,0,0,0,0,116.5,0,179.5,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0
"WAS",0,0,0,153.5,118.5,0,0,0,0,0,0,0,115.5,0,48.5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,20,0
