"","DEN","BUF","PIT","NO","NYJ","JAX","CAR","CHI","CLE","DET","IND","SF","LA","DAL","WAS","LAC","NE","ATL","PHI","KC","HOU","GB","BAL","TB","ARI","OAK","NYG","SEA","CIN","TEN","MIN","MIA"
"DEN",0,0,0,0,0,30.5,0,0,0,0,109.5,0,0,7.5,165.5,13,0,0,7.5,83,285.5,0,102.5,0,0,213.5,54.5,0,0,282.5,0,0
"BUF",0,0,0,0,0,26.5,115.5,0,67.5,0,0,0,0,0,0,0,0,0,0,245.5,0,0,0,0,0,0,0,0,0,0,0,131
"PIT",0,58.5,0,0,75.5,0,0,186.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,0,0,13.5,0,0,0,0,55.5,19.5
"NO",0,72.5,0,0,83.5,0,138.5,0,0,0,0,176.5,144.5,417.5,0,0,0,35.5,0,0,0,0,0,137.5,140.5,0,0,0,0,0,0,119.5
"NYJ",0,68.5,0,0,0,0,0,0,124.5,0,0,0,0,0,0,0,87,0,0,0,0,0,0,39.5,0,0,0,0,0,22.5,0,0
"JAX",0,0,0,0,0,0,0,0,14.5,0,0,0,26.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAR",0,0,0,0,80.5,0,0,0,0,0,0,113.5,0,0,0,0,0,30,0,0,0,0,0,123.5,117.5,0,237.5,0,0,0,91.5,0
"CHI",0,0,0,74.5,0,0,0,0,88.5,4,0,0,30.5,149.5,0,0,0,0,0,0,0,1,0,0,0,0,2.5,0,0,0,22.5,0
"CLE",0,0,18,0,0,0,0,0,0,14.5,0,0,0,0,0,0,22.5,0,0,23.5,0,0,0,0,0,0,0,0,88,0,94.5,1.5
"DET",0,0,67.5,0,0,0,0,0,0,0,0,0,0,340.5,35.5,0,0,0,0,0,0,136,29.5,146.5,0,0,63.5,0,0,0,19.5,0
"IND",0,0,0,0,0,130.5,0,0,0,0,0,96.5,21.5,0,0,0,0,0,0,94.5,0,0,0,0,0,0,0,0,0,0,0,35.5
"SF",0,0,0,0,0,94.5,0,0,0,0,0,0,103,0,128.5,0,0,0,0,0,0,94.5,0,207.5,0,0,0,0,0,0,0,0
"LA",0,0,0,0,0,0,49.5,0,0,0,0,0,0,0,0,0,0,42.5,0,0,0,0,0,92.5,0,0,0,47.5,0,0,0,0
"DAL",0,0,0,0,0,0,0,0,0,0,0,0,149.5,0,0,0,0,0,70.5,19.5,0,18.5,0,0,0,32.5,0,0,0,0,0,0
"WAS",0,0,0,0,0,0,0,125.5,0,0,0,0,0,104,0,75.5,0,247.5,0,0,0,0,0,0,0,55.5,5,0,0,0,140.5,0
"LAC",0,0,0,0,0,95.5,0,0,0,0,92.5,0,0,174.5,0,0,0,0,42.5,84.5,0,0,0,0,0,101.5,40.5,0,0,0,0,106.5
"NE",13.5,68,116.5,0.5,0,0,104.5,0,0,0,0,0,0,0,0,0,0,5.5,0,0,82.5,0,0,2.5,0,0,0,0,0,0,0,13
"ATL",0,32.5,0,0,60.5,0,0,0,0,0,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.5
"PHI",0,0,0,0,0,0,0,240.5,0,237.5,0,0,0,0,16,0,0,0,0,21.5,0,33.5,0,88.5,0,0,0,0,0,0,36.5,0
"KC",0,0,0,0,0,127.5,0,0,0,0,0,0,0,0,104.5,0,0,0,0,0,48.5,0,0,0,0,0,77.5,0,0,28.5,0,0
"HOU",0,0,0,0,0,5,0,0,0,0,37.5,43.5,189.5,0,0,200.5,0,0,0,0,0,0,42.5,0,0,38.5,0,191.5,0,91.5,0,0
"GB",0,0,12.5,0,0,0,0,0,126.5,0,0,0,0,0,143.5,0,0,34.5,0,0,0,0,92.5,0,0,0,74.5,0,116.5,0,134,0
"BAL",0,9.5,0,0,77.5,0,0,12.5,1,0,0,0,0,0,0,0,43.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.5
"TB",0,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,36.5
"ARI",0,0,0,0,0,156.5,0,0,0,11.5,154.5,61.5,67,0,0,0,0,41.5,57.5,0,82.5,0,0,57.5,0,0,0,3.5,0,0,0,0
"OAK",0,0,0,0,45.5,77.5,0,0,0,0,112.5,0,0,0,0,0,0,0,21.5,67.5,0,0,0,0,0,0,0,0,0,0,0,0
"NYG",0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,34,0,0,0,0,0,0,23.5,0,0,0,0,36.5,0
"SEA",0,0,0,226.5,0,199.5,141.5,0,0,0,118.5,14.5,0,0,0,0,0,278.5,0,0,0,0,0,50.5,0,0,160.5,0,0,166.5,0,0
"CIN",0,175.5,59,0,147.5,0,0,31.5,0,1.5,26.5,0,0,0,0,34.5,78.5,0,0,0,0,0,171.5,0,0,0,0,0,0,0,205.5,134.5
"TEN",0,0,48.5,0,0,102.5,0,0,0,0,28.5,4.5,14.5,0,0,160.5,0,0,0,0,0,0,0,0,85.5,87.5,0,0,0,0,0,0
"MIN",0,0,0,0,0,0,0,0,0,0,0,0,0,57.5,0,0,0,0,0,0,0,0,66.5,0,0,0,0,27.5,0,0,0,0
"MIA",0,0,0,0,99,0,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
