"","SEA","ATL","LA","PIT","PHI","NYJ","BAL","CHI","HOU","KC","MIA","TB","DAL","DEN","DET","ARI","BUF","WAS","TEN","NYG","MIN","CLE","CIN","CAR","LAC","OAK","GB","SF","IND","NO","JAX","NE"
"SEA",0,0,150,0,315.5,0,0,0,0,88.5,0,0,0,35.5,0,234.5,0,110.5,0,171.5,0,0,0,66.5,0,85.5,128.5,130,0,0,0,0
"ATL",0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,154.5,0,0,0,94.5,0,0,0,0,0,0,0,0,0,85.5,0,0
"LA",0,0,0,0,128.5,0,0,0,0,0,0,21.5,93.5,0,0,0,0,139.5,0,0,0,0,0,0,0,89.5,0,0,0,0,0,0
"PIT",0,5.5,0,0,0,101.5,12,0,0,0,0,25.5,0,0,0,0,0,0,88.5,0,0,46,73,119.5,0,0,0,0,176.5,134.5,143.5,0
"PHI",0,0,0,0,0,0,0,0,197.5,0,0,0,63.5,0,0,135.5,0,29,83.5,58,0,0,0,33.5,0,0,0,0,131.5,0,99.5,0
"NYJ",0,0,0,0,0,0,0,142.5,0,69.5,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229.5,0,0,0,0,0,88
"BAL",0,102.5,0,0,0,0,0,0,0,0,212.5,125.5,0,0,0,0,0,0,87.5,0,0,81,0,124.5,0,0,0,0,0,0,51.5,0
"CHI",0,207.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.5,0,0,0,89,0,0,40.5,0,0,0,0,0,0,0,0
"HOU",0,0,0,79.5,0,0,84.5,0,0,0,0,0,0,0,0,0,0,0,108,6.5,0,63.5,0,0,0,0,0,0,0,0,83.5,0
"KC",0,0,146.5,59.5,0,0,0,0,0,0,24.5,0,0,0,0,36.5,0,0,0,0,0,0,0,0,2,35,0,0,0,0,0,138.5
"MIA",0,0,0,0,0,0,0,183.5,0,0,0,0,0,0,0,0,34,0,0,0,119.5,0,0,0,248.5,132.5,0,0,0,0,0,17
"TB",0,0,0,0,0,0,0,177.5,0,0,0,0,0,0,0,0,0,21.5,0,0,0,49.5,0,0,0,0,0,0,0,0,0,0
"DAL",209.5,0,0,0,0,0,0,33.5,111.5,0,0,0,0,0,0,0,0,12.5,68.5,19.5,0,0,0,0,0,0,0,51.5,133.5,0,78.5,0
"DEN",0,0,74.5,0,0,169.5,0,0,0,91,122.5,0,0,0,0,338.5,0,0,0,0,0,0,46.5,0,84,250.5,0,94.5,0,0,0,88.5
"DET",0,108.5,0,0,0,38.5,0,169,0,0,114.5,159.5,0,0,0,0,0,0,0,207.5,0,0,0,22.5,0,0,33,0,0,0,0,0
"ARI",0,0,42.5,0,0,0,0,0,0,0,0,0,87.5,0,75.5,0,0,0,0,0,0,0,0,0,98.5,159.5,0,11,0,0,0,0
"BUF",0,0,0,0,0,43,0,0,29.5,71.5,0,0,0,123.5,96.5,0,0,0,0,0,82.5,0,0,0,0,0,0,0,0,0,0,0
"WAS",0,0,0,0,0,0,0,0,70.5,0,0,0,0,0,0,104.5,0,0,100.5,0,7.5,0,0,0,0,0,0,0,0,0,286.5,0
"TEN",0,0,0,0,0,50.5,0,0,0,174.5,0,0,0,0,0,0,0,0,0,0,0,0,40.5,0,0,0,0,0,0,0,0,0
"NYG",0,0,141.5,0,0,0,0,0,0,0,0,0,0,0,0,60.5,0,17.5,209.5,0,0,0,0,0,0,0,0,0,0,0,85.5,0
"MIN",0,134.5,42.5,0,0,3.5,0,0,0,0,0,121.5,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CLE",0,171.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.5,0,64.5,0,0,0,0,0,0,0,0,0,0,0,0,0
"CIN",0,148.5,0,0,0,0,8,0,138.5,0,0,39.5,0,0,0,0,0,0,0,0,0,18.5,0,67.5,0,0,0,0,0,89.5,43.5,0
"CAR",0,31.5,0,0,0,0,0,0,0,0,0,86.5,0,0,0,0,0,0,0,0,152.5,161.5,0,0,0,0,0,0,0,21.5,0,0
"LAC",74.5,0,78.5,0,0,273.5,104.5,0,0,0,0,0,0,0,0,0,58.5,0,0,0,0,0,0,0,0,47,0,13.5,0,0,73.5,0
"OAK",0,0,0,0,0,0,0,0,22.5,0,0,0,0,0,0,0,11.5,0,0,0,0,95.5,0,0,0,0,0,67.5,0,0,0,0
"GB",0,22.5,0,0,31.5,102.5,0,1,0,0,47.5,336.5,0,0,0,0,94.5,0,0,0,36.5,0,0,17.5,0,0,0,0,0,10.5,0,143.5
"SF",0,0,96.5,0,179.5,0,0,130.5,0,77.5,0,0,0,0,0,0,0,84.5,0,17.5,0,0,0,0,0,0,0,0,0,0,0,0
"IND",0,0,0,0,0,0,120.5,0,56.5,0,0,0,0,61.5,0,0,0,47.5,211.5,19.5,0,128.5,356.5,0,0,0,0,0,0,0,190,0
"NO",0,0,0,0,0,0,61.5,177.5,0,0,0,127.5,7.5,0,78.5,0,0,0,0,0,134.5,87.5,0,0,0,0,0,78.5,0,0,0,0
"JAX",0,0,0,0,0,0,0,0,0,0,36.5,0,0,0,0,0,0,0,10,0,0,55.5,0,0,0,0,0,0,0,0,0,0
"NE",0,0,0,0,0,0,0,84.5,0,0,0,0,0,0,89.5,0,29.5,0,0,0,89.5,0,170.5,0,195.5,41.5,0,0,193.5,0,0,0
