"","NE","CHI","HOU","NYJ","BUF","WAS","JAX","LA","ARI","LAC","TB","OAK","DEN","DAL","ATL","SF","KC","CAR","PIT","NO","MIN","CIN","CLE","NYG","PHI","GB","IND","TEN","BAL","MIA","SEA","DET"
"NE",0,0,138.5,0,97.5,195.5,163.5,0,0,0,0,0,0,106.5,0,0,0,0,0,0,0,0,0,0,164.5,0,22.5,49.5,0,0,0,0
"CHI",0,0,0,0,0,0,0,126.5,20.5,123.5,0,113.5,0,0,0,58.5,55.5,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0
"HOU",0,0,0,82.5,27.5,0,87.5,0,0,0,80.5,0,0,0,64.5,0,53.5,0,0,79.5,0,14.5,0,0,0,0,118,66,0,0,0,0
"NYJ",81.5,0,0,0,21.5,234.5,0,0,0,0,0,0,0,77.5,0,0,0,0,0,0,0,0,0,122.5,77.5,0,15.5,130.5,0,138.5,0,0
"BUF",0,0,0,0,0,37.5,96.5,0,0,0,0,0,0,86.5,0,0,16.5,0,0,0,0,0,0,0,78.5,0,21.5,0,0,29,0,0
"WAS",0,11.5,0,0,0,0,0,145.5,0,0,0,0,0,0,0,0,0,0,0,149.5,0,0,0,53.5,59.5,0,0,0,0,78.5,0,0
"JAX",0,0,0,160.5,0,0,0,0,0,36.5,0,0,0,0,14.5,0,0,0,0,0,0,0,0,0,0,0,81.5,0,0,0,0,0
"LA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,0,0,0,0,39.5,0,0,0,0,26.5,0,0,0,0,0,0
"ARI",0,0,0,0,0,0,0,215.5,0,0,0,0,0,0,0,129.5,0,0,173.5,4.5,0,0,251.5,0,83.5,186.5,0,0,121.5,0,0,0
"LAC",0,0,0,0,0,0,0,0,0,0,0,34.5,0,0,0,0,0,0,42.5,0,99.5,0,0,0,0,192.5,0,0,20.5,196.5,0,166.5
"TB",0,47.5,0,0,0,138.5,29.5,204.5,0,0,0,0,0,96.5,0,0,0,93.5,0,0,0,0,0,43.5,152.5,0,22.5,0,0,0,0,0
"OAK",0,0,0,70.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.5,0,0,64.5,0,165.5,0,0,0,0
"DEN",117.5,56.5,0,0,0,0,0,0,0,103.5,0,96.5,0,0,0,0,0,0,22.5,0,4.5,81.5,158.5,0,0,345.5,0,0,31.5,0,0,78.5
"DAL",0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,42.5,0,0,0,0,190.5,0,0
"ATL",0,0,0,0,0,133.5,0,0,0,0,68.5,0,0,107.5,0,0,0,0,0,28.5,0,0,0,28.5,0,0,84.5,136.5,0,0,0,0
"SF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,132.5,61.5,0,0,0,0,0,0,0,0,0,0
"KC",0,0,0,0,0,0,0,0,0,116.5,0,2.5,48.5,0,0,0,0,0,23.5,0,21.5,28.5,0,0,0,0,0,0,0,0,0,49.5
"CAR",0,0,35.5,0,0,167.5,12.5,0,0,0,0,0,0,96.5,44.5,0,0,0,0,106,0,0,0,88.5,30.5,8.5,5.5,75.5,0,0,63.5,0
"PIT",119.5,0,0,0,0,0,0,15.5,0,0,0,144.5,0,0,0,31.5,0,0,0,0,0,14.5,118.5,0,0,0,269.5,0,0,0,118.5,0
"NO",0,0,0,0,0,0,108.5,0,0,0,43.5,0,0,88.5,0,0,0,0,0,0,0,0,0,183.5,0,0,87.5,0,0,0,0,0
"MIN",0,39.5,0,0,0,0,0,0,10.5,0,0,28.5,0,0,50.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
"CIN",0,0,0,0,1.5,0,0,16.5,8.5,20.5,0,164.5,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,7.5,0
"CLE",0,0,0,2.5,0,0,0,70.5,0,10.5,0,0,0,0,0,245.5,124.5,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0
"NYG",1.5,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,130.5,0,0,0,0,9.5,0,0,0,0,0,0,0,0,80.5,0,0
"PHI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5,0,0,0,0,116.5,0,0,0,55.5,0,0,0,0,0,132.5,0,0
"GB",0,0,0,0,0,0,0,0,0,0,0,0,0,150.5,0,180.5,105.5,0,0,0,44,0,0,0,0,0,0,0,0,0,24.5,46
"IND",0,0,0,0,0,0,0,0,0,0,0,0,41.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.5,0,0,0,0
"TEN",0,0,0,0,52.5,0,46,0,0,0,50.5,0,0,0,0,0,0,0,0,83.5,0,0,123.5,0,0,0,0,0,0,0,0,0
"BAL",0,0,0,0,0,0,124.5,160.5,0,0,0,59.5,0,0,0,43.5,74.5,0,88,0,0,1,0,0,0,0,0,0,0,170.5,0,0
"MIA",37.5,0,166.5,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.5,149.5,0,0,0,0
"SEA",0,210.5,0,0,0,0,0,49.5,7,0,0,0,0,117.5,0,224,0,0,0,0,322.5,0,178.5,0,0,0,0,0,136.5,0,0,74.5
"DET",0,53.5,0,0,0,0,0,28.5,76.5,0,0,146.5,0,0,0,34.5,0,0,0,11.5,0,0,0,0,188.5,0,0,0,0,0,0,0
