"","PHI","BAL","NYG","NO","NE","MIN","MIA","IND","CLE","LAC","DEN","CAR","ARI","GB","DET","OAK","CIN","ATL","WAS","TEN","TB","PIT","NYJ","BUF","SF","LA","JAX","DAL","CHI","HOU","KC","SEA"
"PHI",0,0,0,0,0,0,0,155.5,0,0,0,0,0,0,0,0,0,0,237,49.5,0,0,0,0,0,0,74.5,0,0,133.5,0,0
"BAL",0,0,0,0,0,0,0,0,15.5,177.5,34.5,0,0,0,0,152.5,98.5,249.5,0,269.5,114.5,17.5,0,201.5,0,0,0,0,0,0,0,0
"NYG",39.5,0,0,0,0,0,0,4.5,0,0,0,98.5,0,0,0,0,0,26.5,26.5,0,0,0,0,0,0,0,4.5,0,0,0,0,0
"NO",335.5,2.5,102.5,0,0,0,0,0,0,0,0,9.5,0,0,0,0,239.5,34.5,149.5,0,0,0,0,0,0,0,0,0,0,0,0,0
"NE",0,0,0,0,0,178.5,143,0,0,0,0,0,0,51.5,0,0,0,0,0,0,0,6.5,148,77.5,0,0,0,0,0,49.5,39.5,0
"MIN",23.5,0,0,135.5,0,0,210.5,0,0,0,0,0,128.5,146.5,95.5,0,0,0,0,0,0,0,67.5,0,1.5,0,0,0,0,0,0,14.5
"MIA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.5,0,0,0
"IND",0,0,0,0,15.5,0,126.5,0,0,0,0,0,0,0,0,130.5,35.5,0,0,156,0,0,68.5,60.5,0,0,3.5,63.5,0,67.5,0,0
"CLE",0,0,0,64.5,0,0,0,0,0,0,53.5,0,0,0,0,0,126,30.5,0,0,0,0,42.5,0,0,0,0,0,0,58.5,0,0
"LAC",0,0,0,0,0,0,0,0,144.5,0,30,0,250.5,0,0,70.5,0,0,0,0,0,51.5,0,70.5,0,0,0,0,0,0,149,33.5
"DEN",0,0,0,0,0,0,0,0,0,0,0,0,100.5,0,0,19.5,62.5,0,0,0,0,0,0,0,0,0,0,0,0,43.5,5,149.5
"CAR",45.5,46.5,0,0,0,0,0,0,59.5,0,0,0,0,0,92.5,0,0,3,78.5,0,117.5,0,0,0,0,0,0,44.5,0,0,0,64.5
"ARI",0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,46.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GB",0,0,0,0,0,0,68.5,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,186.5,263.5,105.5,0,0,0,34.5,0,0,0
"DET",0,0,0,0,190.5,0,149.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5,95.5,0,0,0,0,0,0,0
"OAK",0,0,0,0,0,0,75.5,0,61.5,0,0,0,57.5,0,0,0,17.5,0,0,0,0,0,0,0,0,15.5,0,0,0,0,0,0
"CIN",0,0,0,0,0,0,20.5,0,0,21.5,0,33.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATL",79.5,0,0,0,0,0,0,0,0,0,0,0,167.5,58.5,0,0,73.5,0,139.5,0,0,0,0,0,0,0,0,16.5,0,0,0,0
"WAS",0,0,0,0,0,0,0,38.5,0,0,0,0,230.5,31.5,0,0,0,0,0,15.5,0,0,0,0,0,0,67.5,0,0,0,0,0
"TEN",0,0,55.5,0,86.5,0,8.5,0,0,60.5,0,0,0,0,0,0,0,0,0,0,0,0,108.5,12.5,0,0,86,57.5,0,0,0,0
"TB",9.5,0,165.5,14.5,0,0,0,0,136.5,0,0,0,0,0,0,0,190.5,18.5,200.5,0,0,27.5,0,0,55.5,0,0,165.5,0,0,0,0
"PIT",0,0,0,75.5,0,0,0,0,164.5,0,233.5,200.5,0,0,0,0.5,177.5,42.5,0,0,0,0,0,0,0,0,94.5,0,0,0,13.5,0
"NYJ",0,0,0,0,0,0,109.5,0,0,0,61.5,0,0,0,24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,0,0
"BUF",0,0,0,0,0,14.5,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,0,0,0,0,0,59.5,27.5,0,0
"SF",0,0,82.5,0,0,0,0,0,0,8.5,100.5,0,85.5,0,0,148.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.5,47
"LA",11.5,0,0,12.5,0,93.5,0,0,0,150.5,101.5,0,249.5,44.5,48.5,0,0,0,0,0,0,0,0,0,47.5,0,0,0,0,0,0,68.5
"JAX",0,0,0,0,163.5,0,75.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310.5,20.5,0,0,0,0,0,0,92.5,0
"DAL",154.5,0,10.5,117.5,0,0,0,0,0,0,0,0,0,0,17.5,0,0,0,45.5,0,0,0,0,0,0,0,159.5,0,0,0,0,22.5
"CHI",0,0,52.5,0,57.5,105,0,0,0,0,0,0,109.5,0,15,0,0,0,0,0,157.5,0,173.5,0,60.5,65.5,0,0,0,0,0,0
"HOU",0,0,33.5,0,0,0,42.5,0,0,0,0,0,0,0,0,0,0,0,56.5,125.5,0,0,0,0,0,0,118,155.5,0,0,0,0
"KC",0,106.5,0,0,0,0,0,0,125.5,0,0,0,55.5,0,0,72,297.5,0,0,0,0,0,0,0,0,105.5,0,0,0,0,0,0
"SEA",0,0,0,0,0,0,0,0,0,0,0,0,80.5,4.5,96.5,198.5,0,0,0,0,0,0,0,0,0,0,0,0,19.5,0,28.5,0
