"","team","win_perc_2012"
"1","NYG",0.5
"2","CHI",0.625
"3","KC",0.125
"4","CLE",0.3125
"5","NO",0.4375
"6","DET",0.25
"7","TEN",0.375
"8","MIN",0.625
"9","NYJ",0.375
"10","HOU",0.75
"11","ARI",0.3125
"12","GB",0.6875
"13","TB",0.4375
"14","DEN",0.8125
"15","BAL",0.625
"16","OAK",0.25
"17","MIA",0.4375
"18","JAX",0.125
"19","CIN",0.625
"20","BUF",0.375
"21","PHI",0.25
"22","CAR",0.4375
"23","NE",0.75
"24","IND",0.6875
"25","LA",0.46875
"26","SEA",0.6875
"27","PIT",0.5
"28","LAC",0.4375
"29","SF",0.71875
"30","ATL",0.8125
"31","DAL",0.5
"32","WAS",0.625
