"","game_id","home_team","winning_team","losing_team","diff_abs","week"
"1",2016090800,"DEN",18,1,1.5,1
"2",2016091100,"ATL",32,2,9.5,1
"3",2016091101,"BAL",8,17,3.5,1
"4",2016091102,"HOU",9,28,6.5,1
"5",2016091103,"JAX",30,10,6.5,1
"6",2016091104,"KC",7,25,3.5,1
"7",2016091105,"NO",26,6,3.5,1
"8",2016091106,"NYJ",31,5,3.5,1
"9",2016091107,"PHI",4,23,16.5,1
"10",2016091108,"TEN",27,3,10.5,1
"11",2016091109,"SEA",29,11,0.5,1
"12",2016091110,"DAL",20,12,3.5,1
"13",2016091111,"IND",22,13,6.5,1
"14",2016091112,"ARI",21,14,4.5,1
"15",2016091200,"WAS",19,15,24.5,1
"16",2016091201,"SF",16,24,25.5,1
"17",2016091500,"BUF",5,17,9.5,2
"18",2016091800,"CAR",18,16,15.5,2
"19",2016091801,"CLE",8,23,5.5,2
"20",2016091802,"DET",3,22,3.5,2
"21",2016091803,"HOU",9,7,4.5,2
"22",2016091804,"NE",21,29,4.5,2
"23",2016091805,"NYG",6,20,0.5,2
"24",2016091806,"PIT",19,31,5.5,2
"25",2016091807,"WAS",12,15,6.5,2
"26",2016091808,"ARI",14,32,30.5,2
"27",2016091809,"LA",24,11,3.5,2
"28",2016091810,"DEN",1,13,8.5,2
"29",2016091811,"OAK",2,26,9.5,2
"30",2016091812,"LAC",25,10,21.5,2
"31",2016091813,"MIN",27,30,0.5,2
"32",2016091900,"CHI",4,28,18.5,2
"33",2016092200,"NE",21,9,24.5,3
"34",2016092500,"BUF",17,14,11.5,3
"35",2016092501,"CAR",27,18,14.5,3
"36",2016092502,"CIN",1,31,14.5,3
"37",2016092503,"GB",30,22,4.5,3
"38",2016092504,"JAX",8,10,4.5,3
"39",2016092505,"MIA",29,23,4.5,3
"40",2016092506,"NYG",15,20,4.5,3
"41",2016092507,"TEN",26,3,9.5,3
"42",2016092508,"SEA",11,16,16.5,3
"43",2016092509,"TB",24,32,6.5,3
"44",2016092510,"PHI",4,19,28.5,3
"45",2016092511,"IND",13,25,2.5,3
"46",2016092512,"KC",7,5,16.5,3
"47",2016092513,"DAL",12,28,11.5,3
