"","GB","BAL","LA","TB","CHI","KC","JAX","HOU","CLE","LAC","SF","ARI","WAS","NYJ","MIA","DEN","DET","BUF","PIT","NO","CAR","MIN","TEN","IND","NE","ATL","NYG","CIN","PHI","OAK","SEA","DAL"
"GB",0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,108.5,0,0,0,0,0,38,0,0,0,189.5,14.5,0,0,21.5,0,0
"BAL",0,0,323.5,0,0,0,0,94.5,121.5,0,68.5,183.5,0,102.5,0,0,0,0,19.5,0,0,0,0,176.5,0,0,0,0,0,0,10.5,0
"LA",39.5,0,0,0,0,0,0,0,0,0,0,9.5,0,0,0,0,0,0,0,25.5,0,0,0,0,0,0,81.5,7.5,0,0,0,0
"TB",91.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.5,0,0,0,0,0,0,0,0
"CHI",0,0,0,129.5,0,0,0,0,0,32.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.5,74.5,0,0
"KC",108.5,0,0,0,85.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.5,0,0,0,0,0,52.5,0,0
"JAX",0,44.5,0,30.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,1,0,0,0,42.5,0,0,0,0
"HOU",0,0,0,203.5,0,0,72,0,193.5,0,0,0,0,0,53.5,0,0,0,7.5,29.5,27.5,0,198,55.5,0,0,0,141.5,0,180.5,0,0
"CLE",0,0,39.5,0,0,0,16.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.5,32.5,0,0,0,0,0,0,146.5,0
"LAC",77.5,110.5,0,0,0,115.5,141.5,0,0,0,0,0,0,0,148.5,68,0,70.5,0,0,0,205.5,0,0,0,0,0,0,0,0,0,0
"SF",0,0,121,131.5,0,0,0,0,43.5,0,0,55,35.5,0,0,0,18.5,0,0,0,0,0,0,0,0,0,0,12.5,0,0,24,0
"ARI",0,0,0,0,0,0,0,0,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.5,95.5,0,41,0
"WAS",0,0,181.5,0,0,0,0,0,0,0,0,115.5,0,23.5,0,0,0,0,0,0,0,0,0,0,17.5,0,0,0,0,0,180.5,0
"NYJ",0,0,0,0,0,78.5,65.5,0,0,35.5,0,0,0,0,76,103.5,0,20.5,0,0,0,0,0,0,0,0,0,0,0,70.5,0,0
"MIA",0,0,0,0,0,16.5,0,0,103.5,0,0,0,42.5,0,0,0,0,19.5,0,0,0,0,0,0,0,0,0,0,0,43.5,0,63.5
"DEN",0,0,0,0,85.5,20,0,0,0,0,0,0,0,0,57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,0,0
"DET",44.5,0,0,132.5,110.5,129.5,0,0,0,58.5,0,0,0,0,0,78.5,0,0,0,19.5,69.5,0,0,0,0,0,0,0,0,0,0,0
"BUF",0,0,0,0,0,165.5,0,0,0,0,0,0,197.5,0,0,43.5,0,0,0,0,0,0,47.5,0,0,0,0,0,0,12.5,0,0
"PIT",0,0,130.5,0,0,52.5,146.5,0,116,0,116.5,129.5,0,0,0,0,0,0,0,0,0,0,110.5,181.5,199.5,0,0,56,0,0,242.5,0
"NO",92.5,0,0,60.5,121.5,0,243.5,0,0,0,0,0,0,0,0,0,0,0,0,0,189.5,380.5,78.5,290.5,0,0,97.5,0,0,0,0,0
"CAR",41.5,0,0,108,240.5,0,0,0,0,0,0,97.5,34.5,0,0,0,0,0,0,0,0,29.5,0,68.5,0,32.5,0,0,0,0,0,0
"MIN",0,0,0,48.5,0.5,5.5,0,0,0,0,0,26.5,6.5,0,0,136.5,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TEN",0,188.5,0,29.5,0,0,38,0,0,0,0,0,0,0,0,87.5,0,0,0,0,118.5,0,0,6.5,0,0,0,0,0,0,0,0
"IND",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.5,0,0,0,0,0,0,0
"NE",0,0,0,0,0,31.5,0,0,0,21.5,0,0,0,101,76.5,72.5,0,63.5,0,0,0,0,0,0,0,0,62.5,0,5.5,0,0,0
"ATL",0,0,0,82,23.5,0,151.5,14.5,0,0,0,0,0,0,0,0,79.5,0,0,68.5,0,94.5,119.5,260.5,0,0,0,0,0,0,54.5,0
"NYG",0,0,0,0,0,0,0,0,0,0,102.5,6.5,14.5,15.5,141.5,0,0,25.5,0,0,0,0,0,0,0,0,0,0,0,0,27.5,102.5
"CIN",0,49.5,0,0,0,0,0,0,62,0,0,0,0,0,0,78.5,0,170.5,0,0,0,0,5.5,70.5,0,0,0,0,0,0,0,0
"PHI",0,0,83.5,0,0,0,0,0,0,0,56.5,0,74,164.5,49.5,0,0,172.5,0,0,0,0,0,0,0,143.5,76.5,0,0,0,0,188
"OAK",0,0,0,0,0,0,0,0,46.5,116,0,0,0,0,0,0,30.5,0,0,0,0,4.5,0,0,80.5,0,0,0,0,0,0,0
"SEA",0,0,91,0,79.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.5,2.5,0,0,0
"DAL",0,0,165.5,221.5,0,0,0,0,0,0,280.5,23.5,47,44.5,0,0,116.5,147.5,0,0,0,0,0,0,20.5,0,0,0,0,0,46.5,0
