"","NE","BUF","WAS","TEN","HOU","DET","CLE","CHI","CIN","LA","SF","GB","DAL","MIN","DEN","BAL","TB","PIT","NO","KC","JAX","IND","CAR","OAK","LAC","SEA","ATL","NYG","PHI","NYJ","ARI","MIA"
"NE",0,126,0,0,0,0,0,0,0,0,0,0,0,0,71.5,0,7.5,0,140.5,0,0,0,0,88.5,23.5,0,45.5,0,0,25,0,41
"BUF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.5,0,77.5,0,0,0,0,0,0,0,85,0,0
"WAS",0,0,0,0,0,0,0,0,0,67.5,69.5,0,0,0,39.5,0,0,0,0,0,0,0,0,329.5,0,0,0,0,0,0,0,0
"TEN",0,0,0,0,0,0,0,0,93.5,0,0,0,0,0,0,0,0,0,0,0,41.5,99,0,0,0,0,0,0,0,0,0,24.5
"HOU",33.5,0,0,145,0,0,80.5,0,0,0,0,0,0,0,0,23.5,0,0,0,0,0,0,0,0,0,44.5,0,0,0,0,50.5,0
"DET",0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,16.5,48.5,75.5,0,0,0,0,0,0,0,0,0,1.5,0,0,43.5,0
"CLE",0,0,0,0.5,0,82.5,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,25.5,0,0,0,0,0,0,0,192.5,0,0
"CHI",0,0,0,0,0,51,0,0,262.5,0,0,16.5,0,0,0,65.5,13.5,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CIN",0,152.5,0,0,14.5,73.5,45.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LA",0,0,0,50.5,145.5,0,0,0,0,0,0,0,0,0,0,0,0,0,54.5,0,0,132.5,0,0,0,168.5,0,168.5,0,0,111.5,0
"SF",0,0,0,71.5,119.5,0,0,255.5,0,107.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.5,0,0,0,0
"GB",0,0,0,0,0,0,10.5,0,28.5,0,0,0,0,0,0,31.5,0,0,0,0,0,0,11.5,0,0,130.5,17.5,0,0,0,0,0
"DAL",0,0,8.5,0,0,0,0,0,0,13.5,225.5,51.5,0,0,0,0,0,0,0,37.5,0,0,0,51.5,0,132.5,0,141.5,0,0,0,0
"MIN",0,0,26.5,0,0,75,115.5,75,170.5,182.5,0,60.5,0,0,0,134.5,137.5,0,111.5,0,0,0,27.5,0,0,0,51.5,0,0,0,0,0
"DEN",0,108.5,0,0,0,0,0,0,136.5,0,0,0,96.5,0,0,0,0,0,0,22.5,0,250.5,0,0,40.5,0,0,131.5,0,158.5,0,0
"BAL",0,0,0,98.5,0,0,30.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,134.5,0,0,0,0,0,0,0,84.5
"TB",0,27.5,0,0,0,0,0,0,0,0,0,133.5,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,40.5,0,0,0,0
"PIT",36.5,0,0,26.5,117.5,0,12.5,0,131,0,0,142.5,0,83.5,0,112.5,0,0,0,202.5,43.5,65.5,0,0,0,0,0,0,0,0,0,0
"NO",0,298.5,66.5,0,0,17.5,0,65.5,0,0,0,239.5,0,0,0,0,36.5,0,0,0,0,0,97.5,0,0,0,0,0,0,107.5,0,175.5
"KC",180.5,0,51.5,0,70.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,35.5,0,0,60.5,0,0,0,44.5
"JAX",0,0,0,0,177.5,0,114.5,0,244.5,125.5,119.5,0,0,0,0,239.5,0,0,0,0,0,212,0,0,63.5,9.5,0,0,0,0,0,0
"IND",0,0,0,0,62,0,0,0,69.5,0,30.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAR",85.5,64.5,0,0,0,134.5,0,154.5,0,0,84.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220.5
"OAK",0,50.5,0,23.5,0,0,0,0,0,0,0,0,0,0,42.5,0,0,0,0,0,0,0,0,0,0,0,0,121.5,72.5,124.5,0,0
"LAC",0,21.5,272.5,0,0,0,123.5,0,0,0,0,0,282.5,0,0,0,0,0,0,0,0,0,0,114,0,0,0,61.5,0,98.5,0,16.5
"SEA",0,0,172.5,27.5,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,227.5,0,0,0,0,68.5,262.5,0,0,17.5,0
"ATL",0,95.5,0,0,0,118.5,0,85.5,0,0,0,0,88.5,0,0,0,90,0,26.5,0,0,0,74,0,0,0,0,0,0,121.5,0,35.5
"NYG",0,0,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,18.5,0
"PHI",0,0,59.5,0,0,0,0,265.5,0,162.5,51.5,0,40,0,178.5,0,0,0,0,76.5,0,0,21.5,0,68.5,146.5,0,0,0,0,97.5,0
"NYJ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5,0,0,1.5,145.5,0,77.5,0,0,0,0,0,0,0,0,13
"ARI",0,0,82.5,42.5,0,0,0,0,0,0,46,0,44.5,0,0,0,3.5,0,0,0,112.5,137.5,0,0,0,0,0,0,0,0,0,0
"MIA",0,32,0,0,0,0,0,0,0,0,0,0,0,0,82.5,0,112.5,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0
